username,comments,comment_upvotes,comment_score,posts,post_upvotes,post_score,total_posts,pay2post,points,blockchain_address
masterpieceloud4931,53,45.28775,28624.26233,18,83.0103,119571.34242,18,4500,143695.60475,0x16Bd6F1d0d3a5c039ca67e0Da0DEa4bA3823bB23
kirtash93,64,54.98035,34750.50011,19,58.95712,84924.19111,19,4750,114924.69122,0xc149c6d082Da03319497A4Cfea8324A88CD1C898
dbrimatt,58,42.8786,27101.55162,8,29.4283,42389.69545,8,2000,67491.24707,0xFEdD14d3a32FaAbfbd6E290fAA73Aec58e894650
0xmarcaurel,5,5.0,3160.26545,10,39.28295,56584.72582,10,2500,57244.99127,0x354E93137D53ec467112504d7b0e4961362Ef7B7
cymandetv,42,35.655,22535.85292,17,24.10765,34725.61927,23,5750,51511.47219,0x94f5926AD5902b41588097788A1e84884aCE4494
drrobbe,26,20.70695,13087.89173,4,25.4659,36682.09667,4,1000,48769.9884,0x5eD61dee19B3355cf125a5cB95bEC8f344523628
siginwanne,25,21.6168,13662.96524,24,18.9522,27299.50375,25,6250,34712.46898,0xD90C22d2Da086Eaf293E6Ca056116C7d08DecA47
gabfrommars,3,2.1567,1363.1489,12,16.05,23119.05927,20,5000,19482.20817,0xce1EeFfa0390b7A97BA342EebF682170A1fD02C3
odd-radio-8500,26,26.0,16433.38034,0,0,0.0,0,0,16433.38034,0x795065F0368BE7149140D2b134fe2bA072db42AE
creative_ad7831,3,3.0,1896.15927,6,10.1125,14566.44778,6,1500,14962.60705,0x5ce03C34F851066DA7a7392526a7EC4F81790e1D
obolli,0,0,0.0,5,9.51042,13699.19497,5,1250,12449.19497,0xd44d3D1652851a35ad1A0418114c03a0f97c1D60
mixdealyn,14,12.5,7900.66363,2,2.8719,4136.79915,2,500,11537.46277,0xd90deab1894f334febcB808b4b44265Be463aAa2
king__robbo,20,15.30905,9676.13236,0,0,0.0,0,0,9676.13236,0x02977d017bf7002b5B8f32C1D2F3024f96eaB73b
donut-bot,15,13.5,8532.71672,0,0,0.0,0,0,8532.71672,0xa8C8c9e18C763805c91bcB720B2320aDe16a0BBf
coinfeeds-bot,13,13.0,8216.69017,0,0,0.0,0,0,8216.69017,0xd056666321700092B032b2571431B2478cD6512E
malixshak,5,5.0,3160.26545,7,4.0,5761.75932,9,2250,6672.02477,0xb10135E33D94f8364E9dA4148f908EdF92b1bD2f
wisechest8227,6,4.51885,2856.15311,4,3.01708,4345.915,4,1000,6202.06811,0x5dA9d055e6d8EBE0bFD59BD15cf631cBEF786082
lorem_epsom_dollar,9,6.03275,3813.01828,0,0,0.0,0,0,3813.01828,0xbA57aCa2547387c651cA32FE7b17D92F90253B44
remedyiii,4,6.0,3792.31854,0,0,0.0,0,0,3792.31854,0x47F7f4a47e11e2B252aa9885C36B54cFa3Ce6eC1
