username,comments,comment_upvotes,comment_score,posts,post_upvotes,post_score,total_posts,pay2post,points,blockchain_address,multiplier,need_to_buy,current_balance,earned,sent_to_lp,membership
Creative_Ad7831,36,36.0,4711.3163972286375,6,2674.5,153613.4198256639,6.0,-861.5446989661464,157463.1915239264,0x5ce03C34F851066DA7a7392526a7EC4F81790e1D,1.0,0.0,471884.5921,468057.46660000004,0.0,21301.0
kirtash93,350,315.0,41224.01847575058,19,1261.0,72427.19102642071,19.0,-2728.224880059464,110922.98462211182,0xc149c6d082Da03319497A4Cfea8324A88CD1C898,1.0,0.0,1283056.422222266,987374.3944,0.0,24691.0
0xMarcAurel,36,133.0,17405.696689761353,10,1302.0,74782.07987026151,10.0,-1435.907831610244,90751.86872841264,0x354E93137D53ec467112504d7b0e4961362Ef7B7,1.0,0.0,1609305.1932742107,145000.0,287130.48680491466,0.0
MasterpieceLoud4931,208,267.0,34942.263279445724,18,869.0,49912.15622677208,18.0,-2584.634096898439,82269.78540931936,0x16Bd6F1d0d3a5c039ca67e0Da0DEa4bA3823bB23,1.0,0.0,686149.0205937773,685525.1735,0.0,0.0
CymandeTV,151,82.5,10796.76674364896,17,710.0,40779.78241773093,23.0,-3302.588012703561,48273.96114867633,0x94f5926AD5902b41588097788A1e84884aCE4494,1.0,0.0,511693.0027625136,360461.36669999996,0.0,9016.0
coinfeeds-bot,58,287.0,37559.66127790608,0,0.0,0.0,0.0,-0.0,37559.66127790608,0xd056666321700092B032b2571431B2478cD6512E,1.0,0.0,36107.1679,36107.1679,0.0,0.0
SigiNwanne,90,103.5,13545.034642032331,24,382.5,21969.38982363673,25.0,-3589.7695790256103,31924.654886643453,0xD90C22d2Da086Eaf293E6Ca056116C7d08DecA47,0.7813921178740335,20651.581319999998,360487.6179,641886.9987,0.0,3993.0
obolli,14,39.0,5103.92609699769,5,300.25,17245.25305763903,5.0,-717.953915805122,21631.2252388316,0xd44d3D1652851a35ad1A0418114c03a0f97c1D60,1.0,0.0,0.0,0.0,0.0,0.0
Dongerated,7,3.0,392.6096997690531,6,357.0,20504.76383539429,9.0,-1292.3170484492196,19605.05648671412,0xAeE1c7b2d3Ea82C4A1014696B6A5e3371fC698FC,1.0,0.0,0.0,0.0,0.0,0.0
Malixshak,41,15.0,1963.0484988452652,7,247.5,14215.487532941415,9.0,-1292.3170484492196,14886.21898333746,0xb10135E33D94f8364E9dA4148f908EdF92b1bD2f,0.12518868476667788,37701.48988,1366.7753,65113.7753,0.0,0.0
Interpole10,19,91.0,11909.16089299461,0,0.0,0.0,0.0,-0.0,11909.16089299461,0x0433d140d0F29d05D77a8Ee9f3da24E1A2b73339,1.0,0.0,12076.4278,12076.427800000001,0.0,0.0
DBRiMatt,196,63.0,8244.803695150114,8,70.5,4049.260085140888,8.0,-1148.7262652881952,11145.337515002808,0xFEdD14d3a32FaAbfbd6E290fAA73Aec58e894650,1.0,0.0,325.871216274804,886183.778325309,3553534.2120724255,5880.0
Odd-Radio-8500,47,82.0,10731.331793687452,0,0.0,0.0,0.0,-0.0,10731.331793687452,0x795065F0368BE7149140D2b134fe2bA072db42AE,0.9691341586372453,0.0,600157.9913211252,840327.4932,46107.59916046726,8218.0
GabFromMars,83,-53.0,-6936.104695919938,15,219.25,12592.91168322184,20.0,-2871.815663220488,9721.096020001352,0xce1EeFfa0390b7A97BA342EebF682170A1fD02C3,1.0,0.0,0.0,0.0,0.0,0.0
DrRobbe,71,65.0,8506.543494996151,4,18.0,1033.8536387593758,4.0,-574.3631326440976,8966.03400111143,0x5eD61dee19B3355cf125a5cB95bEC8f344523628,1.0,0.0,296311.211585277,387593.11552489584,22273.926009213774,0.0
CM19901,4,54.0,7066.974595842956,0,0.0,0.0,0.0,-0.0,7066.974595842956,0x676eDd42FcB0dC9852036cf6eCa52d3BE9204DFb,1.0,0.0,3634.4433,3857.6740999999997,0.0,0.0
Pinewatch762,18,53.0,6936.104695919938,0,0.0,0.0,0.0,-0.0,6936.104695919938,0x14f40e47227c9F75FD3165292D9F9ff28a4BE577,1.0,0.0,5573.0779,5573.0779,0.0,0.0
