user,address,amount,token,block_number,tx_hash,tx_timestamp,processed_at,created_at
aminok,0xbea18a39a1cee253705eb5e966fe23f26dd109ef,61000,DONUT,31762742,0x7e7e4128a7162169ffbad5d85c944ee4090e74c4bcbd477d5e13cea3dc52ca49,2024-01-03 03:25:50,2024-01-03 03:30:07.998777,2024-01-03 03:30:05.751859
rare1994,0xd1d0c56075b61cd28f62c3bd2b37647703319d6c,100,DONUT,31814459,0x82308adfe004a72391aa3e67a1494ff87e9763f1d620bafb56bb4dbaad8a14d4,2024-01-06 09:04:35,2024-01-06 09:10:05.329718,2024-01-06 09:10:03.237323
