username,comments,comment_upvotes,comment_score,posts,post_upvotes,post_score,total_posts,pay2post,points,blockchain_address
kirtash93,281,240.94545,29899.916,37,225.62455,97418.47601,38,9500,117818.39201,0xc149c6d082Da03319497A4Cfea8324A88CD1C898
odd-radio-8500,239,230.22955,28570.13571,26,109.76175,47392.1052,28,7000,68962.24091,0x795065F0368BE7149140D2b134fe2bA072db42AE
masterpieceloud4931,170,161.33035,20020.14943,16,117.8461,50882.70521,16,4000,66902.85464,0x16Bd6F1d0d3a5c039ca67e0Da0DEa4bA3823bB23
creative_ad7831,63,61.0141,7571.49166,40,139.5578,60257.2202,59,14750,53078.71186,0x5ce03C34F851066DA7a7392526a7EC4F81790e1D
bigron1977,200,205.9611,25558.56352,4,41.1287,17758.24162,4,1000,42316.80514,0x65C33426B9eB958dA182d008f3e40597398Eb752
dbrimatt,128,142.4664,17679.24396,6,50.52445,21815.06809,7,1750,37744.31205,0xFEdD14d3a32FaAbfbd6E290fAA73Aec58e894650
siginwanne,142,137.3002,17038.14887,42,69.40005,29965.03309,48,12000,35003.18196,0xD90C22d2Da086Eaf293E6Ca056116C7d08DecA47
drrobbe,64,55.03015,6828.91859,6,54.8777,23694.68172,6,1500,29023.60031,0x5eD61dee19B3355cf125a5cB95bEC8f344523628
wonderful_bad6531,105,129.39945,16057.71217,12,37.9732,16395.7835,18,4500,27953.49567,0x823203809D31109e99F27092dE19F60a22DF61C5
cymandetv,127,117.00595,14519.75157,20,46.69212,20160.37554,30,7500,27180.12711,0x94f5926AD5902b41588097788A1e84884aCE4494
bazooka_star,35,34.2576,4251.16707,14,53.0307,22897.19792,16,4000,23148.36498,0xD542a50Ba9181DAA549B882752b7Be621355dFce
extension-survey3014,114,114.0,14146.73082,19,26.60963,11489.30431,28,7000,18636.03513,0x1Cc3ddB501900fD286E4c5564D769791Ad087B42
0xmarcaurel,4,4.0,496.37652,7,34.48145,14888.14187,8,2000,13384.51839,0x0c4B8B79E0ebA3e407Bc175176Db496474046e9a
lorem_epsom_dollar,59,51.3054,6366.69898,4,16.3765,7070.92235,5,1250,12187.62132,0xbA57aCa2547387c651cA32FE7b17D92F90253B44
josefumi12,55,54.05,6707.28773,0,0,0.0,1,250,6457.28773,0xA9c455ae9838840187801ce4f0ef1DB28EAeb326
king__robbo,52,46.4867,5768.72659,0,0,0.0,0,0,5768.72659,0x02977d017bf7002b5B8f32C1D2F3024f96eaB73b
abdeliq,30,28.2833,3509.79151,11,13.89382,5998.97155,17,4250,5258.76306,0x68E5b83d9A4E82d3833dE0365543E7d26897B413
yankeedoodlepeguin,45,39.767,4934.85127,0,0,0.0,0,0,4934.85127,0x2C86F88CD046aCf1730F6c1D00E5de8106EAB83b
bzzking,5,5.0,620.47065,4,13.8538,5981.68986,7,1750,4852.16051,0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb
interpole10,40,37.7029,4678.70857,0,0,0.0,0,0,4678.70857,0x0433d140d0F29d05D77a8Ee9f3da24E1A2b73339
defiboy,34,34.2626,4251.78754,0,0,0.0,0,0,4251.78754,0x641895f192A8105a0042f6d2Be612490b6679654
mixdealyn,27,31.7291,3937.39506,0,0,0.0,0,0,3937.39506,0xd90deab1894f334febcB808b4b44265Be463aAa2
thorp1,32,31.5,3908.9651,0,0,0.0,0,0,3908.9651,0x3f65Ad6363073D3328b3F47273D7F3C7f574fD13
timbulance,24,25.0,3102.35325,0,0,0.0,0,0,3102.35325,0xf8b2808E19413E0b14C2966dD6afB497c7F5A919
thecryptos,1,1.0,124.09413,1,6.14205,2651.96828,1,250,2526.06241,0x7A69fcEE302318cE0aDFBE506Bc7eC9d2Cd37cC3
aminok,2,1.5,186.1412,1,5.1323,2215.986,1,250,2152.1272,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF
