user,reason
donut-bot,age
Murky-Statistician45,age
MrDexterX,deleted
musthaf3star,deleted
Pxtxr,suspended
LuckyGlory04,age
Deadboylol734,karma
cryptonitelife,age
Barcode011011,age
yghookah21,karma
AmigosWarrior,karma
geforcei7,karma
Noematasv,deleted
Beginning_Actuary_54,suspended
ArstotzkaHero,age
the1altofthe1,karma
pun_intended_00,karma
tarokogama,age
DelpeNNN,deleted
