user,reason
Murky-Statistician45,age
Mrwiowijo,age
Expensive_Mess_7954,age
donut-bot,age
geforcei7,karma
OgCone,age
Usual_Tip9960,age
filthybusstop,deleted
for3ign21,deleted
musthaf3star,deleted
Omega_buttfuselage,karma
YourMomIsTooHeavy,deleted
ProfBullishChad,karma
Nicks_WRX,suspended
ArstotzkaHero,age
maurinet79,suspended
