user,comments,posts,reason
masterpieceloud4931,1,1,
kirtash93,1,1,
odd-radio-8500,1,1,
drrobbe,1,1,
dbrimatt,1,1,
0xmarcaurel,1,1,
aminok,1,1,
siginwanne,1,1,
cymandetv,1,1,
creative_ad7831,1,1,
mixdealyn,1,1,
donut-bot,1,1,
king__robbo,1,1,
master-cicada1480,1,1,
wisechest8227,1,1,
coinfeeds-bot,1,1,
hduynam99,1,1,
pinewatch762,1,1,
malixshak,1,1,
0xpolygonlabs,1,1,
prospero_quant,0,0,karma and/or age
incompetentdonuts,1,0,comments only
atorcran,1,1,
gubbie99,1,1,
ice-flght,1,1,
thorp1,1,1,
poorbugger,1,1,
wonderful_bad6531,1,1,
coolcoolpapaoldskool,1,1,
cm19901,1,1,
emergensee13,0,0,karma and/or age
man_sloth,0,0,karma and/or age
lucaslouch,1,1,
dogstunning4845,1,1,
kingkai1998,0,0,karma and/or age
fattestlion,1,1,
rv8n8,1,1,
acidyo,1,1,
0x456,1,1,
josefumi12,1,1,
remedyiii,1,1,
xcreampye69x,1,1,
rootpl,1,1,
j-96788-eu,1,1,
olmops,1,1,
shibeceo,1,1,
auspiciousether,1,1,
cg-saviour878879,1,1,
flashy-butterfly6310,1,1,
rollwooden,1,1,
ma78l,1,1,
kaijeng,1,1,
lorem_epsom_dollar,1,1,
savi321,1,1,
alternativewonder471,1,1,
beerdrinker_mavech,1,1,
according_time5120,1,1,
interpole10,1,1,
towjamb,1,1,
admirral,1,1,
bzzking,1,1,
bro_can_u_even_carve,1,1,
oneawesomewave,1,1,
megselepgeci,1,1,
002_timmy,1,1,
timbulance,1,1,
abdeliq,1,1,
legionticket,1,1,
chemicalanybody6229,1,1,
epicureanmystic,0,0,deleted or shadow ban
physicaljoe3011,1,1,
k4yce,1,0,comments only
subdep,1,1,
updown_crypto,1,1,
hereticlaserhaggis,1,1,
rsloth,1,1,
maximumstudent1839,1,1,
celmate,1,1,
potstar1,1,1,
toughstatistician368,0,0,karma and/or age
fear_blind83,1,1,
reclaimer2401,1,1,
dfeldsyo,1,1,
alternative_run_6116,1,1,
echoenclosure,1,1,
desperate-fondant-41,1,1,
t_peters,1,1,
againer,1,1,
a_library_socialist,1,1,
solution_far,1,1,
totalmarc,1,1,
setsukoamon,1,1,
cxgamer,1,1,
security_raven,1,1,
f-machine,1,1,
_lakecity_,1,1,
muzo42,1,1,
newagebroker,0,0,karma and/or age
aitalianstallion,1,1,
physicallodging,1,1,
