username,ban_date,community
BlueMugg,2024-04-10 03:33:59,ethtrader
Murky-Statistician45,2024-04-14 08:39:38,ethtrader
CoupleTop1179,2024-04-21 12:24:06,ethtrader
San_Diego_Steven,2024-04-21 17:24:52,ethtrader
