user,reason
pre_buchi,deleted or shadow ban
SizeOther7893,deleted or shadow ban
BackgroundEntrance44,suspended
xnixxer,age
Ok-Chance-4634,age
East_Ask_2385,karma
ElektricDonut,age
Stiltzkinn,suspended
Independent-Wash-163,age
Abeer0900,deleted or shadow ban
South_Concentrate_39,age
Resident_Dog_3876,deleted or shadow ban
LuganoSatoshi,suspended
ultrez,karma
Imaginary-Lunch6528,age
UpDown_Crypto,age
defi_mama,deleted or shadow ban
Lost_Preference1861,karma
hyowo13,karma
Clean-Holiday-5482,karma
Neat-Expression-2612,suspended
FrenzyFancyBarb,karma
User-Enes,karma
LimpEntertainer9986,karma
OderWieOderWatJunge,age
pearl2525,deleted or shadow ban
ST33I7,age
Annual-Promise-6333,karma
pizzapizzaplz,deleted or shadow ban
PropertySuperb127,karma
Ah_reks,karma
hippiewithskates,karma
Halspastillen,karma
user84011,age
