user,comments,posts,reason
masterpieceloud4931,1,1,
kirtash93,1,1,
0xmarcaurel,1,1,
dbrimatt,1,1,
creative_ad7831,1,1,
odd-radio-8500,1,1,
siginwanne,1,1,
cymandetv,1,1,
malixshak,1,1,
donut-bot,1,1,
obolli,1,1,
coinfeeds-bot,1,1,
drrobbe,1,1,
mixdealyn,1,1,
drymybottom,1,1,
bzzking,1,1,
gubbie99,1,1,
king__robbo,1,1,
mattg1981,1,1,
lorem_epsom_dollar,1,1,
legionticket,1,1,
drdent19,1,1,
echoenclosure,1,1,
hooftly,1,1,
wisechest8227,1,1,
tahiraslam8k,1,1,
0x456,1,1,
abeecrombie,1,1,
abcoathup,1,1,
buy_ether,1,1,
invisibleedge7,0,0,deleted or shadow ban
phatom_user_01,1,1,
2020visionsloth,1,1,
alterise,1,1,
pinewatch762,1,1,
bottomtimer_tunafish,1,1,
cxgamer,1,1,
thewoodser,1,1,
denaneha,1,1,
kaijeng,1,1,
xcreampye69x,1,1,
thinkingperson,1,1,
snoocalculations1742,1,1,
itzdurjoy,1,0,comments only
incompetentdonuts,1,0,comments only
thorp1,1,1,
according_time5120,1,1,
quintavious_danilo,1,1,
datawarrior123,1,1,
tcr0wn,1,1,
puddingbuks26,1,1,
xeritos,1,1,
cm19901,1,1,
uthillygooth,1,1,
qldvaper88,1,1,
mattie_kadlec,1,1,
owenmichael312,1,1,
shleek81,1,1,
hereticlaserhaggis,1,1,
ma78l,1,1,
bapfelbaum,1,1,
wise-grapefruit-1443,1,1,
desperate-fondant-41,1,1,
xennenial,1,1,
jbrev01,1,1,
andys811,1,1,
nefarious-technology,0,0,karma and/or age
rv8n8,1,1,
upvotes_are_useless,1,1,
security_raven,1,1,
aminok,1,1,
timbulance,1,1,
emergensee13,0,0,karma and/or age
zepoid,1,1,
vincex80,0,0,karma and/or age
ogauditcrypto,0,0,karma and/or age
gabfrommars,1,1,
chiurro,1,1,
dongerated,1,1,
