username,points,contrib,comment_score,post_score,offchain_tips,funded,voting,pay2post,eligible_comments,eligible_posts,eligibility_reason,multiplier,address
ROUND 158 BURN,362294.1061,0,0,0,0,0,0,0,0,0,,1.0,0x000000000000000000000000000000000000dEaD
masterpieceloud4931,42500.0,145531.6359,21304.145,110497.9208,101.0,0.0,13.4186,-3500.0,1,1,,1.0,0x16Bd6F1d0d3a5c039ca67e0Da0DEa4bA3823bB23
kirtash93,42500.0,143640.1613,31708.1936,89011.7757,-420.0,0.0,13.2172,-4000.0,1,1,,1.0,0xc149c6d082Da03319497A4Cfea8324A88CD1C898
0xmarcaurel,42500.0,64119.473,2265.5749,58813.0491,82.0,0.0,5.6402,-3000.0,1,1,,1.0,0x354E93137D53ec467112504d7b0e4961362Ef7B7
dbrimatt,42500.0,59397.2502,25036.7552,27030.3025,1.3858,0.0,6.564,-1000.0,1,1,,1.0,0xFEdD14d3a32FaAbfbd6E290fAA73Aec58e894650
creative_ad7831,42500.0,44846.8783,7680.2235,46558.37,101.1337,0.0,0.0,-8500.0,1,1,,1.0,0x5ce03C34F851066DA7a7392526a7EC4F81790e1D
odd-radio-8500,41570.8597,50094.4587,42854.5579,0.0,-21.0,0.0,7.0933,0,1,1,,0.9703746469860113,0x795065F0368BE7149140D2b134fe2bA072db42AE
siginwanne,30772.5029,44142.3773,12866.7286,32158.1655,49.69,0.0,5.0087,-6750.0,1,1,,0.8025833560433595,0xD90C22d2Da086Eaf293E6Ca056116C7d08DecA47
cymandetv,29955.9181,33701.9976,9993.1489,25451.6231,8.0,0.0,3.1461,-5500.0,1,1,,1.0,0x94f5926AD5902b41588097788A1e84884aCE4494
donut-bot,19662.9826,20401.9041,19634.9826,0.0,28.0,0.0,0.0,0,1,1,,1.0,0xa8C8c9e18C763805c91bcB720B2320aDe16a0BBf
obolli,17096.064,16662.0654,1510.3833,17541.6807,44.0,0.0,0.0,-2000.0,1,1,,1.0,0xd44d3D1652851a35ad1A0418114c03a0f97c1D60
coinfeeds-bot,13612.4495,14124.3952,13593.4495,0.0,19.0,0.0,0.0,0,1,1,,1.0,0xd056666321700092B032b2571431B2478cD6512E
drrobbe,13318.2751,20580.6715,5083.7613,8472.9138,10.0,0.0,1.6,-250.0,1,1,,1.0,0x5eD61dee19B3355cf125a5cB95bEC8f344523628
mixdealyn,10283.4725,12331.7247,5368.8084,5661.2686,2.0,0.0,1.3955,-750.0,1,1,,1.0,0xd90deab1894f334febcB808b4b44265Be463aAa2
bzzking,7330.5169,10449.5312,755.1916,7096.4824,24.0,0.0,0.0,-250.0,1,1,,0.9611720853650143,0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb
king__robbo,6866.3303,8641.3713,6879.1917,0.0,-14.0,0.0,1.1386,0,1,1,,1.0,0x02977d017bf7002b5B8f32C1D2F3024f96eaB73b
lorem_epsom_dollar,5042.147,6510.5258,5056.3101,0.0,-15.0,0.0,0.8369,0,1,1,,1.0,0xbA57aCa2547387c651cA32FE7b17D92F90253B44
malixshak,4928.9945,23103.5353,10534.6591,17864.6701,1.0,0.0,0.0,-5250.0,1,1,,0.2128785015428527,0xb10135E33D94f8364E9dA4148f908EdF92b1bD2f
