username,comments,comment_upvotes,comment_score,posts,post_upvotes,post_score,total_posts,pay2post,points,blockchain_address
masterpieceloud4931,33,28.21025,21304.14496,14,79.1386,110497.92077,14,3500,128302.06573,0x16Bd6F1d0d3a5c039ca67e0Da0DEa4bA3823bB23
kirtash93,58,41.98695,31708.19363,16,63.75023,89011.77568,16,4000,116719.96931,0xc149c6d082Da03319497A4Cfea8324A88CD1C898
0xmarcaurel,3,3.0,2265.57492,12,42.1219,58813.04912,12,3000,58078.62404,0x354E93137D53ec467112504d7b0e4961362Ef7B7
dbrimatt,39,33.15285,25036.75516,4,19.3591,27030.30251,4,1000,51067.05767,0xFEdD14d3a32FaAbfbd6E290fAA73Aec58e894650
creative_ad7831,10,10.1699,7680.22346,27,33.3451,46558.36997,34,8500,45738.59343,0x5ce03C34F851066DA7a7392526a7EC4F81790e1D
odd-radio-8500,60,56.7466,42854.55792,0,0,0.0,0,0,42854.55792,0x795065F0368BE7149140D2b134fe2bA072db42AE
siginwanne,18,17.0377,12866.7286,26,23.03167,32158.16554,27,6750,38274.89414,0xD90C22d2Da086Eaf293E6Ca056116C7d08DecA47
cymandetv,18,13.2326,9993.1489,14,18.22845,25451.62315,22,5500,29944.77205,0x94f5926AD5902b41588097788A1e84884aCE4494
malixshak,16,13.94965,10534.65906,20,12.79467,17864.67014,21,5250,23149.3292,0xb10135E33D94f8364E9dA4148f908EdF92b1bD2f
donut-bot,27,26.0,19634.98264,0,0,0.0,0,0,19634.98264,0xa8C8c9e18C763805c91bcB720B2320aDe16a0BBf
obolli,2,2.0,1510.38328,7,12.56335,17541.68071,8,2000,17052.06399,0xd44d3D1652851a35ad1A0418114c03a0f97c1D60
coinfeeds-bot,18,18.0,13593.44952,0,0,0.0,0,0,13593.44952,0xd056666321700092B032b2571431B2478cD6512E
drrobbe,10,6.73175,5083.76132,1,6.0683,8472.91376,1,250,13306.67508,0x5eD61dee19B3355cf125a5cB95bEC8f344523628
mixdealyn,9,7.1092,5368.80841,3,4.0546,5661.26858,3,750,10280.07699,0xd90deab1894f334febcB808b4b44265Be463aAa2
drymybottom,13,10.9253,8250.69522,3,1.06603,1488.44617,8,2000,7739.14139,0x032679C03b339E32A43e2Eb525A3DfCffB1252E9
bzzking,1,1.0,755.19164,1,5.0825,7096.4824,1,250,7601.67404,0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb
gubbie99,6,5.07425,3832.03118,2,2.86462,3999.7562,2,500,7331.78738,0xaF29FACA9278f3FE68BaDd745BB7f5b1538A17Ff
king__robbo,13,9.1092,6879.19169,0,0,0.0,0,0,6879.19169,0x02977d017bf7002b5B8f32C1D2F3024f96eaB73b
mattg1981,0,0,0.0,1,5.0479,7048.17187,1,250,6798.17187,0xb15095113a31A41469dbD6e9314D9B19C6Bb2d78
lorem_epsom_dollar,12,6.6954,5056.31011,0,0,0.0,0,0,5056.31011,0xbA57aCa2547387c651cA32FE7b17D92F90253B44
legionticket,2,2.0,1510.38328,4,3.0,4188.77466,5,1250,4449.15794,0x4a5008a960Df61CE7CF1EFDe0CBc268C390ff94F
