username,comments,comment_upvotes,comment_score,posts,post_upvotes,post_score,total_posts,pay2post,points,blockchain_address,multiplier,need_to_buy,current_balance,earned,sent_to_lp,membership
Creative_Ad7831,73,32.0,5455.001253446979,27,4279.75,227203.14988497607,34.0,-4512.475668023358,228145.67547039967,0x5ce03C34F851066DA7a7392526a7EC4F81790e1D,1.0,0.0,469589.5921,468070.46660000004,0.0,23609.0
kirtash93,332,261.5,44577.58836801203,16,564.25,29954.87524331976,16.0,-2123.517961422757,72408.94564990904,0xc149c6d082Da03319497A4Cfea8324A88CD1C898,1.0,0.0,1323919.422222266,1030574.3944,0.0,27028.0
0xMarcAurel,26,28.5,4858.360491351215,12,1277.0,67793.31091842151,12.0,-1592.6384710670677,71059.03293870566,0x354E93137D53ec467112504d7b0e4961362Ef7B7,1.0,0.0,1703378.9483788495,217500.0,287130.48680491466,0.0
CymandeTV,121,44.5,7585.861118074705,14,1126.95,59827.4641656344,22.0,-2919.8371969562904,64493.48808675281,0x94f5926AD5902b41588097788A1e84884aCE4494,1.0,0.0,551873.0027625136,402961.36669999996,0.0,11336.0
MasterpieceLoud4931,149,181.0,30854.850839809475,14,612.0,32489.82480976818,14.0,-1858.0782162449125,61486.59743333274,0x16Bd6F1d0d3a5c039ca67e0Da0DEa4bA3823bB23,1.0,0.0,590100.0205937773,728191.1735,0.0,0.0
SigiNwanne,85,106.0,18069.69165204312,26,417.75,22177.490709608915,27.0,-3583.436559900902,36663.74580175113,0xD90C22d2Da086Eaf293E6Ca056116C7d08DecA47,0.8025833560433595,9713.161439999996,387833.6676,669233.0484,0.0,3993.0
Odd-Radio-8500,96,190.5,32474.304336926547,0,0.0,0.0,0.0,-0.0,32474.304336926547,0x795065F0368BE7149140D2b134fe2bA072db42AE,0.9703746469860113,0.0,601045.8914413687,840377.4932,46107.59916046726,8218.0
TheWoodser,3,151.0,25740.78716470293,0,0.0,0.0,0.0,-0.0,25740.78716470293,0xd332f7394F24e867f9dDf3DC1B2E63bDaaefdFf3,1.0,0.0,141.8345,141.8345,0.0,0.0
Malixshak,62,33.0,5625.470042617197,20,411.0,21819.147053618824,21.0,-2787.1173243673684,24657.49977186865,0xb10135E33D94f8364E9dA4148f908EdF92b1bD2f,0.2128785015428527,33356.28586575968,6201.7365142403105,65930.0373,0.0,0.0
DryMyBottom,51,102.5,17473.050889947353,3,14.25,756.5032737568571,8.0,-1061.7589807113784,17167.79518299283,0x032679C03b339E32A43e2Eb525A3DfCffB1252E9,1.0,0.0,0.0,0.0,0.0,0.0
obolli,30,17.0,2897.9694158937077,7,265.75,14108.12245620244,8.0,-1061.7589807113784,15944.33289138477,0xd44d3D1652851a35ad1A0418114c03a0f97c1D60,1.0,0.0,10178.195,12464.195,0.0,2286.0
coinfeeds-bot,31,88.0,15001.253446979192,0,0.0,0.0,0.0,-0.0,15001.253446979192,0xd056666321700092B032b2571431B2478cD6512E,1.0,0.0,44337.8581,44337.8581,0.0,0.0
phatom_user_01,3,16.0,2727.5006267234894,1,154.0,8175.544151477613,1.0,-132.7198725889223,10770.32490561218,0x49C6e1f7d2A1B346a35939eb8effDd4e7EA47D36,1.0,0.0,0.0,0.0,0.0,0.0
Pinewatch762,11,61.0,10398.596139383304,0,0.0,0.0,0.0,-0.0,10398.596139383304,0x14f40e47227c9F75FD3165292D9F9ff28a4BE577,1.0,0.0,7472.2372,7472.2372000000005,0.0,0.0
WiseChest8227,23,38.0,6477.813988468288,2,33.0,1751.9023181737743,4.0,-530.8794903556892,7698.836816286373,0x5dA9d055e6d8EBE0bFD59BD15cf631cBEF786082,1.0,0.0,22469.4192,22469.4192,0.0,0.0
legionticket,7,15.0,2557.0318375532715,4,107.25,5693.682534064767,5.0,-663.5993629446115,7587.115008673427,0x4a5008a960Df61CE7CF1EFDe0CBc268C390ff94F,0.3179199041502929,3799.5819599999986,1649.1483,9081.217099999998,0.0,0.0
Olmops,4,40.0,6818.751566808724,0,0.0,0.0,0.0,-0.0,6818.751566808724,0xCA7d56f69C1321DA5ac0fc68B2433A4B3c4624Dc,1.0,0.0,6523.4058,6523.4058,0.0,0.0
Capital-Funny-6606,6,39.5,6733.517172223615,0,0.0,0.0,0.0,-0.0,6733.517172223615,0x211Fd6c1AA85F7f0CDaE3287EB491C85b7fDa5e3,1.0,0.0,0.0,0.0,0.0,0.0
Gubbie99,41,24.5,4176.485334670343,2,41.75,2216.4218722350024,2.0,-265.4397451778446,6127.4674617275,0xaF29FACA9278f3FE68BaDd745BB7f5b1538A17Ff,0.2213645161371458,4502.101993688348,905.1188311967157,9024.727965614084,8883.608472912063,0.0
DBRiMatt,168,36.0,6136.876410127851,4,9.25,491.0635285790125,4.0,-530.8794903556892,6097.060448351174,0xFEdD14d3a32FaAbfbd6E290fAA73Aec58e894650,1.0,0.0,356.1727214103051,944386.778325309,3624334.2120724255,5880.0
thinkingperson,2,35.0,5966.407620957633,0,0.0,0.0,0.0,-0.0,5966.407620957633,0x3B753afeE5EF08832Aff91C1556e080b4EFb680d,1.0,0.0,3500.0902,3500.0902,0.0,0.0
tahiraslam8k,29,33.0,5625.470042617197,0,0.0,0.0,0.0,-0.0,5625.470042617197,0x01761f6FF1CFa8f81FbFC830df947a11a1C34F6D,1.0,0.0,2533.1875,2533.1875,0.0,0.0
Puddingbuks26,1,32.0,5455.001253446979,0,0.0,0.0,0.0,-0.0,5455.001253446979,0x6361d1737dccFD7a68a969A7f06F9D97a740c162,0.10000000000000009,1384.2303000000002,0.0,2307.0505000000003,0.0,0.0
Wise-Grapefruit-1443,1,32.0,5455.001253446979,0,0.0,0.0,0.0,-0.0,5455.001253446979,0x0cCE45f35d6ee94819Ce16D2830A513739EF91E9,1.0,0.0,4043.3041893277186,3087.4535,0.0,0.0
Hooftly,4,32.0,5455.001253446979,0,0.0,0.0,0.0,-0.0,5455.001253446979,0x4CF8e4D37F561815F208565a5b6Ca8a85b143205,1.0,0.0,778.7291,778.7291,0.0,0.0
Dongerated,1,0.0,0.0,3,127.5,6768.713502035037,10.0,-1327.198725889223,5441.514776145814,0xAeE1c7b2d3Ea82C4A1014696B6A5e3371fC698FC,0.10000000000000009,2626.4592,0.0,4377.432,0.0,0.0
