username,contrib,base,mod,org,voter,voting_bonus_contrib,post_of_the_week,pay2post
bigron1977,65546.86335,69546.51265,0.0,0.0,4169.855900000002,900,0,-9069.5052
odd-radio-8500,60718.25858,64447.663,0.0,0.0,3880.254780000003,900,0,-8509.6592
fattestlion,58842.42949,59666.85863,0.0,0.0,3673.260860000002,900,3000,-8397.69
kirtash93,54038.00366,56311.84961999999,0.0,0.0,3499.905639999997,900,1500,-8173.7516
garden_aria,48337.73964,53169.607130000004,0.0,0.0,3561.576110000002,900,0,-9293.4436
abdeliq,41529.67324,50773.397079999995,0.0,0.0,-1010.1262399999978,500,0,-8733.5976
extension-survey3014,45638.16973,50587.24995,0.0,0.0,3444.3633799999952,900,0,-9293.4436
buzzalu,47678.39239,38312.30825,0.0,0.0,2280.7597399999977,900,11000,-4814.6756
siginwanne,37688.36849,42475.83427,0.0,0.0,3046.1318200000023,900,0,-8733.5976
masterpieceloud4931,33691.35033,35245.934590000004,0.0,0.0,2136.15294,900,0,-4590.7372
creative_ad7831,32410.44282,36419.64305,0.0,0.0,2592.73617,900,0,-7501.9364
inclinedumbbellpress,30046.53452,33020.0541,0.0,0.0,2344.6324200000017,900,500,-6718.152
parishyou,21804.01881,31393.69762,0.0,0.0,-3207.4344100000017,0,0,-6382.2444
altruisticpops,24376.97364,28406.704919999996,0.0,0.0,756.7595199999996,700,0,-5486.4908
wonderful_bad6531,25858.70576,30109.175799999997,0.0,0.0,2351.4663599999985,900,0,-7501.9364
goldyluckinblokchain,0,0,0.0,0.0,1881.0872999999992,900,0,-5262.5524
dbrimatt,29607.84208,20952.7612,0.0,0.0,1158.557280000001,900,8500,-1903.4764
mrwiowijo,14922.16131,22567.40588,0.0,0.0,-2158.7537699999993,0,0,-5486.4908
whodontloveboobs,19105.12719,18257.84591,0.0,0.0,1426.049280000001,900,3000,-4478.768
cymandetv,13283.23571,14445.24867,0.0,0.0,1073.12464,900,0,-3135.1376
mayusuff,0,0,0.0,0.0,-1386.8113999999987,0,0,-5262.5524
drrobbe,21513.01705,9395.23342,0.0,0.0,501.56803000000036,900,11500,-783.7844
