username,comments,comment_upvotes,comment_score,posts,post_upvotes,post_score,total_posts,pay2post,points,blockchain_address,eligibility_reason,eligible_comments,eligible_posts
masterpieceloud4931,88,65.8425,27361.42107,18,113.7715,107081.49802,18,4500,129942.91909,0x16Bd6F1d0d3a5c039ca67e0Da0DEa4bA3823bB23,,1,1
kirtash93,93,75.61505,31422.48885,14,87.6368,82483.573,17,4250,109656.06185,0xc149c6d082Da03319497A4Cfea8324A88CD1C898,,1,1
odd-radio-8500,119,104.31805,43350.26907,13,38.39205,36134.51722,15,3750,75734.78629,0x795065F0368BE7149140D2b134fe2bA072db42AE,,1,1
dbrimatt,103,86.46315,35930.51075,7,43.0255,40495.51068,7,1750,74676.02143,0xFEdD14d3a32FaAbfbd6E290fAA73Aec58e894650,,1,1
drrobbe,56,46.3994,19281.67249,5,35.2819,33207.25054,5,1250,51238.92303,0x5eD61dee19B3355cf125a5cB95bEC8f344523628,,1,1
0xmarcaurel,7,5.5,2285.57263,13,46.7318,43983.87249,13,3250,43019.44512,0x354E93137D53ec467112504d7b0e4961362Ef7B7,,1,1
cymandetv,42,32.515,13511.88983,20,33.77795,31791.73594,26,6500,38803.62577,0x94f5926AD5902b41588097788A1e84884aCE4494,,1,1
creative_ad7831,13,11.5004,4779.09081,26,40.21255,37847.96802,36,9000,33627.05883,0x5ce03C34F851066DA7a7392526a7EC4F81790e1D,,1,1
siginwanne,41,36.77675,15282.89695,28,25.52858,24027.44144,32,8000,31310.33838,0xD90C22d2Da086Eaf293E6Ca056116C7d08DecA47,,1,1
hduynam99,2,2.9315,1218.21021,6,17.0314,16029.91808,7,1750,15498.1283,0x409067c39029382a5C4d38b75163c5539b25a17a,,1,1
bzzking,4,4.0,1662.23464,2,7.9315,7465.11122,3,750,8377.34586,0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb,,1,1
fatkid13yrs,14,15.0,6233.3799,1,0.5,470.59895,1,250,6453.97886,0x0941E330FfE52f3c0e9b20D7919DE3A56b8f1962,perma ban,0,0
michaelaischmann,14,15.1346,6289.3141,0,0,0.0,0,0,6289.3141,0xa18aBe5EDDaB2cdBF2837425FAaf32bd9B0085Dc,suspended,0,0
master-cicada1480,15,14.1592,5883.97818,0,0,0.0,0,0,5883.97818,0x6842317481Df7EC9Bae5118B6d532070900A8CE2,,1,1
king__robbo,15,13.6418,5668.96813,0,0,0.0,0,0,5668.96813,0x02977d017bf7002b5B8f32C1D2F3024f96eaB73b,,1,1
aminok,2,1.5,623.33799,2,5.0,4705.98955,1,250,5079.32754,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF,,1,1
mixdealyn,9,10.0,4155.5866,1,1.0,941.19791,1,250,4846.78451,0xd90deab1894f334febcB808b4b44265Be463aAa2,,1,1
wonderful_bad6531,12,11.57825,4811.44206,0,0,0.0,0,0,4811.44206,0x823203809D31109e99F27092dE19F60a22DF61C5,,1,1
coinfeeds-bot,11,11.0,4571.14526,0,0,0.0,0,0,4571.14526,0xd056666321700092B032b2571431B2478cD6512E,,1,1
