username,comments,comment_upvotes,comment_score,posts,post_upvotes,post_score,total_posts,pay2post,points,blockchain_address
0xmarcaurel,8,6.8105,10938.48203,12,31.3996,95875.65105,12,3000,103814.13308,0x354E93137D53ec467112504d7b0e4961362Ef7B7
kirtash93,13,14.2482,22884.32269,9,19.1728,58542.29616,9,2250,79176.61885,0xc149c6d082Da03319497A4Cfea8324A88CD1C898
dbrimatt,27,16.31595,26205.37786,5,17.66765,53946.46576,5,1250,78901.84362,0xFEdD14d3a32FaAbfbd6E290fAA73Aec58e894650
creative_ad7831,8,7.5,12045.90195,17,17.0,51907.86086,22,5500,58453.76281,0x5ce03C34F851066DA7a7392526a7EC4F81790e1D
aminok,5,5.0,8030.6013,5,15.0,45801.0537,5,1250,52581.655,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF
drrobbe,5,4.0,6424.48104,2,12.7324,38877.15574,2,500,44801.63678,0x5eD61dee19B3355cf125a5cB95bEC8f344523628
odd-radio-8500,31,27.0,43365.24702,0,0,0.0,0,0,43365.24702,0x795065F0368BE7149140D2b134fe2bA072db42AE
siginwanne,2,1.3101,2104.17815,10,6.0,18320.42148,11,2750,17674.59963,0xD90C22d2Da086Eaf293E6Ca056116C7d08DecA47
partymsl,9,9.4058,15106.84594,0,0,0.0,0,0,15106.84594,0xDCe583535B74c67CA542aFdA1be01Cb5F505BdC5
donut-bot,9,9.0,14455.08234,0,0,0.0,0,0,14455.08234,0xa8C8c9e18C763805c91bcB720B2320aDe16a0BBf
cymandetv,3,2.5,4015.30065,3,3.5,10686.91253,7,1750,12952.21318,0x94f5926AD5902b41588097788A1e84884aCE4494
king__robbo,12,8.0287,12895.05773,0,0,0.0,0,0,12895.05773,0x02977d017bf7002b5B8f32C1D2F3024f96eaB73b
coinfeeds-bot,8,8.0,12848.96208,0,0,0.0,0,0,12848.96208,0xd056666321700092B032b2571431B2478cD6512E
memeycurmudgeon,6,3.0,4818.36078,1,2.0,6106.80716,1,250,10675.16794,0x7f25555A0C85B53Cb8934960D0e4ae2DF65CeCaB
mixdealyn,5,4.0,6424.48104,2,1.5,4580.10537,2,500,10504.58641,0xd90deab1894f334febcB808b4b44265Be463aAa2
josefumi12,0,0,0.0,11,3.75,11450.26343,13,3250,8200.26343,0xA9c455ae9838840187801ce4f0ef1DB28EAeb326
thecryptos,1,1.0,1606.12026,1,2.0,6106.80716,1,250,7462.92742,0x7A69fcEE302318cE0aDFBE506Bc7eC9d2Cd37cC3
wisechest8227,1,1.0,1606.12026,4,2.0,6106.80716,4,1000,6712.92742,0x5dA9d055e6d8EBE0bFD59BD15cf631cBEF786082
denaneha,5,4.0,6424.48104,0,0,0.0,0,0,6424.48104,0x7dF9cf2BbA031194C518cEDFf5Beac23E2f46969
abcoathup,5,3.5,5621.42091,0,0,0.0,0,0,5621.42091,0x13ebd3443fa5575F0Eb173e323D8419F7452CfB1
abysskitten,3,3.0,4818.36078,0,0,0.0,0,0,4818.36078,0x44c40501f71050116Cc687acAEC0CE7798D69331
numerous_ruin_4947,3,3.0,4818.36078,0,0,0.0,0,0,4818.36078,0x8d9D69BE93b8ab04c3f12492d847e903D82e5607
masaca,0,0,0.0,1,1.5,4580.10537,1,250,4330.10537,0x6D6aB4b8b44aAE58C63dbcE10F7621De376dE8Ee
malixshak,0,0,0.0,5,1.75,5343.45627,7,1750,3593.45627,0xb10135E33D94f8364E9dA4148f908EdF92b1bD2f
blueberry_dependent,2,2.0,3212.24052,0,0,0.0,0,0,3212.24052,0x32967df08d9E13121b057e9f72748f1b03603D23
0x456,2,2.0,3212.24052,0,0,0.0,0,0,3212.24052,0x456029D4d417ab7BD4D5d2b0404215E56a25C000
autisticgaybear69,2,2.0,3212.24052,0,0,0.0,0,0,3212.24052,0xCb03986DC7dBfDA590B5475C39fb9ec9EaC8C6d7
snoocalculations1742,2,2.0,3212.24052,0,0,0.0,0,0,3212.24052,0xDcae928B358377FCEEaF6D681dC589300258C8d9
rv8n8,3,2.0,3212.24052,0,0,0.0,0,0,3212.24052,0x3e38717ca367cDad980613466ea2395621EE17E8
jclaslie,1,1.0,1606.12026,1,0.5,1526.70179,1,250,2882.82205,0x49BFaBf1904FE272ef4097164C2e8524c6B27716
nolaughingzone,0,0,0.0,1,1.00188,3059.12871,1,250,2809.12871,0xaB1cDF06604a894B318e750bBE20441bc6574026
economist_kinda,2,1.5,2409.18039,0,0,0.0,0,0,2409.18039,0x09e8a60Fa9a4EeeCfe2f4eC2D08ddA56307d48C9
fattestlion,2,1.5,2409.18039,0,0,0.0,0,0,2409.18039,0x2dBB136D8DC31698ADA7C56E0853C255629d0cA6
serenaded,2,1.5,2409.18039,0,0,0.0,0,0,2409.18039,0x08dA4BC3e2fb388b862d17c017c06F98D981C89A
complete_oven_9651,2,2.0,3212.24052,3,0.1,305.34036,5,1250,2267.58088,0xBa4f232b8461e1f4d92253E587261076459274b3
xcreampye69x,2,1.3105,2104.8206,0,0,0.0,0,0,2104.8206,0xe64C85059F9560fd475cc4d3DDe881334917D4eB
bazooka_star,0,0,0.0,1,0.75,2290.05269,1,250,2040.05269,0xD542a50Ba9181DAA549B882752b7Be621355dFce
pizzatimedudes,2,1.02875,1652.29622,0,0,0.0,0,0,1652.29622,0x60BD73DF813ABE085858CC5191B0451E733aB56B
towjamb,1,1.0,1606.12026,0,0,0.0,0,0,1606.12026,0x6AA08E1E39958055836F31906C6ff8c072e8C0F3
basoosh,1,1.0,1606.12026,0,0,0.0,0,0,1606.12026,0x80148c5d2b61182107f43FAE67f8F2ec4b5dbcDE
admirral,1,1.0,1606.12026,0,0,0.0,0,0,1606.12026,0x23930436f8ecBCC18149f68e82E60Eeb7b0aF4D0
steppe5,1,1.0,1606.12026,0,0,0.0,0,0,1606.12026,0x940d5dC8aF7aCC0B9880Fa0062a453EAb22630C3
keatonatron,1,1.0,1606.12026,0,0,0.0,0,0,1606.12026,0x7c80435964Bde8071e1D3Df76Da870C2F03b44F2
razaberry,1,1.0,1606.12026,0,0,0.0,0,0,1606.12026,0xb46dd29Bf9463E9d230cc6aab4125451Fc8a3345
coinsquad,1,1.0,1606.12026,0,0,0.0,0,0,1606.12026,0xD7327A6EAE17A5bCbb59d6CD4D8F67900CE33245
mrjune2040,1,1.0,1606.12026,0,0,0.0,0,0,1606.12026,0xa433d3e9B1390e5691Ace268484b8Ac23120Fad4
martelaxe,1,1.0,1606.12026,0,0,0.0,0,0,1606.12026,0x895708Fe6Fb1309Dc9e76Dbf88968691E82862b8
moneyfink,1,1.0,1606.12026,0,0,0.0,0,0,1606.12026,0xBf5F412a5004c5342c31eba5770bDa36aB203A02
