username,comments,comment_upvotes,comment_score,posts,post_upvotes,post_score,total_posts,pay2post,points,blockchain_address,eligibility_reason,eligible_comments,eligible_posts,voter_bonus_comments,comment_upvotes_with_bonus,voter_bonus_posts,post_upvotes_with_bonus,comment_score_after_bonus,post_score_after_bonus,pay2post_after_bonus,points_after_bonus
kirtash93,211,175.7462,25426.2502,32,217.87135,96954.55255,32,8000,114380.80275,0xc149c6d082Da03319497A4Cfea8324A88CD1C898,,1,1,21.96828,197.71448,27.23392,245.10527,28825.5433770792,103118.091078538,8000.0,123943.63446
masterpieceloud4931,169,163.7921,23696.77931,17,134.0869,59669.7794,17,4250,79116.55871,0x16Bd6F1d0d3a5c039ca67e0Da0DEa4bA3823bB23,,1,1,20.47401,184.26611,16.76086,150.84776,26864.8545454569,63463.070600944,4250.0,86077.92515
odd-radio-8500,212,212.06635,30680.90277,21,87.39062,38889.55085,23,5750,63820.45362,0x795065F0368BE7149140D2b134fe2bA072db42AE,,1,1,26.50829,238.57464,10.92383,98.31445,34782.7009634856,41361.813270829996,5750.0,70394.51423
dbrimatt,159,186.0248,26913.31652,9,66.9295,29784.18101,9,2250,54447.49753,0xFEdD14d3a32FaAbfbd6E290fAA73Aec58e894650,,1,1,23.25310,209.27790,8.36619,75.29569,30511.4182042410,31677.604562485998,2250.0,59939.02277
creative_ad7831,34,31.8459,4607.33615,48,134.92108,60040.99417,55,13750,50898.33033,0x5ce03C34F851066DA7a7392526a7EC4F81790e1D,,1,1,3.98074,35.82664,16.86514,151.78622,5223.3016285656,63857.889544467995,13750.0,55331.19117
bigron1977,217,212.9646,30810.85795,5,39.1248,17410.85956,6,1500,46721.71751,0x65C33426B9eB958dA182d008f3e40597398Eb752,,1,1,26.62058,239.58518,4.89060,44.01540,34930.0314200322,18517.69252476,1500.0,51947.72394
wonderful_bad6531,128,150.0485,21708.41078,14,45.30535,20161.25543,16,4000,37869.66621,0x823203809D31109e99F27092dE19F60a22DF61C5,,1,1,18.75606,168.80456,5.66317,50.96852,24610.6565716824,21442.935468088,4000.0,42053.59204
siginwanne,108,109.06105,15778.51211,46,77.54705,34509.07856,50,12500,37787.59067,0xD90C22d2Da086Eaf293E6Ca056116C7d08DecA47,,1,1,0,109.06105,0,77.54705,15900.4238208795,32624.77287727,12500.0,36025.1967
drrobbe,61,57.15855,8269.46809,8,67.3325,29963.51934,8,2000,36232.98743,0x5eD61dee19B3355cf125a5cB95bEC8f344523628,,1,1,7.14482,64.30337,8.41656,75.74906,9375.0320220723,31868.341583164,2000.0,39243.37361
extension-survey3014,81,79.0171,11431.8748,38,58.95417,26235.09543,46,11500,26166.97022,0x1Cc3ddB501900fD286E4c5564D769791Ad087B42,,1,1,0,79.0171,0,58.95417,11520.202483809,24802.573488198,11500.0,24822.77597
