username,contrib,base,mod,org,voter,voting_bonus_contrib,post_of_the_week,pay2post
lordciders,46496.19948,46785.03911,0.0,0.0,1517.4034900000042,1300,0,-3106.24312
yester_philippines,41619.84214,40693.88359,0.0,0.0,2059.99899,1400,0,-2534.04044
master-score7344,38661.32869,37909.9242,0.0,0.0,1967.188169999994,1400,0,-2615.78368
odd-radio-8500,36370.2213,35736.09768,0.0,0.0,1972.5221600000004,1400,0,-2738.39854
major-remove-7190,32750.94742,32613.26196,0.0,0.0,2007.4150599999994,1400,0,-3269.7296
kig45,32300.04345,32161.783170000002,0.0,0.0,2007.9898799999974,1400,0,-3269.7296
fredzoor,31782.73826,31650.62533,0.0,0.0,2001.842529999998,1400,0,-3269.7296
wonderful_bad6531,30248.67663,30284.11892,0.0,0.0,1997.7737899999993,1400,0,-3433.21608
every_hunt_160,29452.93777,29445.4755,0.0,0.0,1877.1918699999987,1400,0,-3269.7296
legendrxl,28915.55393,28831.284460000003,0.0,0.0,1913.12745,1400,0,-3228.85798
goldyluckinblokchain,28387.15458,28280.88641,0.0,0.0,1853.3829100000003,1400,0,-3147.11474
kirtash93,21701.21061,26030.10447,0.0,0.0,-5080.954759999997,0,3000,-2247.9391
rikbona,27103.54609,27197.962850000004,0.0,0.0,1857.0560799999985,1400,0,-3351.47284
altruisticpops,26640.71759,26299.77174,0.0,0.0,1638.4727700000003,1400,0,-2697.52692
siginwanne,25675.25274,25610.92331,0.0,0.0,1729.700929999999,1400,0,-3065.3715
honey_-_badger,22592.0997,20709.91139,0.0,0.0,686.5464100000027,1400,0,-204.3581
buzzalu,23593.49794,21697.497219999997,0.0,0.0,1212.6087599999992,1400,1000,-1716.60804
bigron1977,20921.94687,19850.44256,0.0,0.0,1020.2677699999986,1400,0,-1348.76346
extension-survey3014,20869.47784,21119.42962,0.0,0.0,1660.6494399999974,1400,0,-3310.60122
sky-876,19968.80611,19599.84154,0.0,0.0,1339.5185300000012,1400,0,-2370.55396
sadiq_238,10669.73263,15578.35627,0.0,0.0,-2865.0426400000015,0,0,-2043.581
abdeliq,16176.00511,15921.00696,0.0,0.0,1184.6804900000006,1400,0,-2329.68234
parishyou,16107.96423,15920.03794,0.0,0.0,1240.2234900000003,1400,0,-2452.2972
dbrimatt,26419.9081,13562.94552,0.0,0.0,610.9084999999995,1400,11500,-653.94592
fattestlion,11827.98013,13309.921839999999,0.0,0.0,-1037.5363499999985,700,0,-1144.40536
creative_ad7831,14433.44046,13912.5494,0.0,0.0,1000.9855800000005,1400,0,-1880.09452
friendly-airline2426,39540.10024,12569.24743,0.0,15000.0,756.1297900000009,1400,11000,-1185.27698
creeptoecurrentsea,14606.2595,12368.12342,0.0,0.0,809.5144,1400,1500,-1471.37832
inclinedumbbellpress,12652.39766,12025.37977,0.0,0.0,861.8826900000004,1400,0,-1634.8648
mayusuff,12159.74721,13537.603420000001,0.0,0.0,505.7720499999996,1100,0,-2983.62826
narrow-professor-126,12742.21749,12518.74613,0.0,0.0,1071.410460000001,1400,0,-2247.9391
dapper-horror3112,12000.95152,11802.27782,0.0,0.0,1046.6128000000008,1400,0,-2247.9391
coindoing,11021.56651,10749.83565,0.0,0.0,956.1834799999997,1400,0,-2084.45262
downtown_yam9137,10990.85934,11103.84304,0.0,0.0,1102.7999799999998,1400,0,-2615.78368
