user,comments,posts,reason
kirtash93,1,1,
masterpieceloud4931,1,1,
dbrimatt,1,1,
odd-radio-8500,1,1,
creative_ad7831,1,1,
siginwanne,1,1,
wonderful_bad6531,1,1,
drrobbe,1,1,
cymandetv,1,1,
extension-survey3014,1,1,
0xmarcaurel,1,1,
yankeedoodlepeguin,1,1,special membership
aminok,1,1,
king__robbo,1,1,
bzzking,1,1,
kuberanm,1,1,
aptacode,1,1,
mixdealyn,1,1,
lorem_epsom_dollar,1,1,
coinfeeds-bot,1,1,
ogg_ogg,1,1,
speed_punch,1,1,
da_dreamerr,1,1,
abeecrombie,1,1,
timbulance,1,1,
hkmamike,1,1,
interpole10,1,1,
f-machine,1,1,
michaelaischmann,1,1,
bigron1977,1,1,
abdeliq,1,1,
ice-flght,1,1,
defiboy,0,0,suspended
thorp1,1,1,
xennenial,1,1,
josefumi12,1,1,
rundown03,1,1,
wales-bloke,1,1,
abcoathup,1,1,
thecryptos,1,1,
salil19,1,1,
a_library_socialist,1,1,
alternativewonder471,1,1,
bapfelbaum,1,1,
aftertax,1,1,
tserica,1,0,comments only
wisechest8227,1,1,
0x456,1,1,
jned99,1,1,
incompetentdonuts,1,0,comments only
lord-nagafen,1,1,
002_timmy,1,1,
fattestlion,1,1,
_lakecity_,1,0,comments only
donut-bot,1,1,
meetjames,0,0,karma and/or age
divyad,1,1,
raresanevoice,1,1,
parush9,1,1,
linkoplus,1,0,comments only
cm19901,1,1,
distinctengineering2,1,1,
olmops,1,1,
ma78l,1,1,
truthreasonorlies,1,1,
emergensee13,0,0,karma and/or age
phoenixblue,1,1,
inverses2,1,1,
xc0dex,1,1,
dfeldsyo,1,1,
alternative_run_6116,1,1,
criticalcobraz,1,1,
t_peters,1,1,
buy_ether,1,1,
statisticalman,1,1,
nickel62,1,1,
bicycleoflife,1,1,
straylit,1,1,
kindly-wolf6919,1,1,
tahiraslam8k,1,1,
kappatalizable,1,1,
thinkingperson,1,1,
mcgravier,1,1,
mallison945,1,1,
kevin0905,1,1,
landswipe,1,1,
blizzardboy123,1,1,
pinewatch762,1,1,
fakeplayer1,1,1,
betterthansydney,1,1,
atorcran,1,1,
wise-grapefruit-1443,1,1,
supernoise5209,1,1,
shadowknight324,1,1,
doctorwho_cares,1,1,
lennethluna,1,1,
qldvaper88,1,1,
mauerfan,1,1,
wdym_brother,0,0,karma and/or age
soggyknotts,1,1,
thevzi,1,1,
8055u,1,1,
calm_voice_9791,1,1,
fabdarice,0,0,karma and/or age
solarisx86,1,1,
alterise,1,1,
fussball9999,1,1,
jackieknows,1,1,
joekercom,1,1,
admirral,1,1,
flsurf7,1,1,
ethanphan,1,1,
roy1984,1,1,
hwaite,1,1,
jjaymay29,1,1,
daototpyrc,1,1,
ironmoosen,1,1,
clsmith15,1,1,
xadebravo,1,1,
wzi,1,1,
megselepgeci,1,1,
stolidd,0,0,karma and/or age
pumpkinspice2nice,1,1,
macktologist,1,1,
unknownessence,1,1,
greedvault,1,1,
riftadrift,1,1,
epicureanmystic,1,1,
awaythrowred8,1,1,
quintavious_danilo,1,1,
astrotoad21,1,1,
final_lionel,1,1,
subdep,1,1,
nethanns,1,1,
qtask,1,1,
shelbyturtle,1,1,
garugasrevenge,1,1,
zkrooky,1,1,
hamiflegetshelmaoism,1,1,
chrisnba24,0,0,karma and/or age
reclaimer2401,1,1,
rhamish,1,1,
dieselx22,1,1,
centralbankerscum,1,1,
wurld_92,0,0,karma and/or age
numerous_ruin_4947,1,1,
bottomtimer_tunafish,1,1,
ju1c3dv89,0,0,karma and/or age
weekly-deal-8251,0,0,deleted or shadow ban
jesser9,1,1,
jdg401,1,1,
interesting_key_6246,1,0,comments only
brilliant_cream_2367,0,0,suspended
yoldark,1,1,
pibo1987,1,1,
barcelonakiz,1,1,
prettynewspaper1311,0,0,karma and/or age
mohkudai,1,1,
wildcaptainboy,1,1,
iheartqt,1,1,
kaijeng,1,1,
salty-bois,1,1,
imdoubleb,1,1,
j-96788-eu,1,1,
tracyspacygo,1,1,
sam_kaushik,1,1,
shibeceo,1,1,
security_raven,1,1,
green_candler,1,1,
puzzleheaded-wave609,1,0,comments only
chemicalanybody6229,1,1,
martianandroidminer,1,1,
heirofrhoads,1,1,
