username,points,contrib,comment_score,post_score,offchain_tips,funded,voting,pay2post,eligible_comments,eligible_posts,eligibility_reason,multiplier,address
ROUND 153 BURN,421870.248,0,0,0,0,0,0,0,0,0,,1.0,0x000000000000000000000000000000000000dEaD
kirtash93,42500.0,139541.9708,35176.2696,79744.0025,-68.3335,0.0,31.8089,-5750.0,1,1,,1.0,0xc149c6d082Da03319497A4Cfea8324A88CD1C898
masterpieceloud4931,42500.0,112792.931,22090.8102,71977.6371,-6.0,0.0,24.0381,-5250.0,1,1,,1.0,0x16Bd6F1d0d3a5c039ca67e0Da0DEa4bA3823bB23
dbrimatt,42500.0,91759.4572,33352.1859,39707.6171,1073.4475,0.0,23.5,-2750.0,1,1,,1.0,0xFEdD14d3a32FaAbfbd6E290fAA73Aec58e894650
odd-radio-8500,42500.0,71008.8557,38690.7752,26983.7431,-45.0,0.0,23.7223,-4250.0,1,1,,1.0,0x795065F0368BE7149140D2b134fe2bA072db42AE
creative_ad7831,42500.0,55687.3043,6415.3158,55006.0026,91.0,0.0,13.3068,-14250.0,1,1,,1.0,0x5ce03C34F851066DA7a7392526a7EC4F81790e1D
drrobbe,29038.3971,33300.0738,7677.3726,22377.1597,226.0,0.0,7.8648,-1250.0,1,1,,1.0,0x5eD61dee19B3355cf125a5cB95bEC8f344523628
siginwanne,22011.6602,38610.6901,15913.8574,27807.8202,57.0,0.0,12.8567,-11500.0,1,1,,0.681091281340413,0xD90C22d2Da086Eaf293E6Ca056116C7d08DecA47
cymandetv,19797.9563,23850.0984,9151.2812,17825.9415,63.0,0.0,7.7336,-7250.0,1,1,,1.0,0x94f5926AD5902b41588097788A1e84884aCE4494
extension-survey3014,19677.3104,20232.9326,11761.3262,14120.9842,295.0,0.0,0.0,-6500.0,1,1,,1.0,0x1Cc3ddB501900fD286E4c5564D769791Ad087B42
0xmarcaurel,17331.5675,19973.2438,2170.507,17264.0946,-107.2865,0.0,4.2524,-2000.0,1,1,,1.0,0x0c4B8B79E0ebA3e407Bc175176Db496474046e9a
