username,contrib,base,voter,voting_bonus_contrib,post_of_the_week,pay2post
kirtash93,122730.23229,129204.02520999999,3576.207079999993,700,5500,-16250.0
bigron1977,107128.25178,116875.06663,3303.185150000005,700,3000,-16750.0
fattestlion,78838.80824,84637.40527,2501.4029699999955,700,0,-9000.0
masterpieceloud4931,70059.31187,69062.69586,2046.616009999998,700,5000,-6750.0
odd-radio-8500,49028.12071,50807.76345,2020.3572600000043,700,0,-4500.0
wonderful_bad6531,44530.85181,59418.562040000004,1912.289770000003,700,0,-17500.0
dbrimatt,45160.64005,43459.88261,1500.7574400000012,700,3000,-3500.0
inclinedumbbellpress,32121.58829,40074.2591,1097.3291900000004,700,0,-9750.0
siginwanne,28182.85996,31964.043490000004,1268.8164700000016,700,0,-5750.0
creative_ad7831,0,0,1027.1518600000018,700,1500,-14250.0
abdeliq,25666.36295,39322.60856,1393.7543899999982,700,0,-15750.0
altruisticpops,24908.25437,35068.40326,1139.8511099999996,700,0,-12000.0
extension-survey3014,16568.41166,38224.5946,-3906.182939999999,0,0,-17750.0
parishyou,10502.06423,26550.716979999997,-2798.6527499999993,0,0,-13250.0
josefumi12,11592.07118,13017.73142,-1175.6602399999992,0,0,-250.0
0xmarcaurel,15754.43917,15209.55581,344.8833599999998,700,2000,-2500.0
drrobbe,23268.79401,13668.4364,400.3576099999991,700,10000,-1500.0
cymandetv,7417.19381,8188.70747,278.4863399999995,700,0,-1750.0
legendrxl,3490.12586,4115.56624,-375.44038,0,0,-250.0
timbulance,2926.68175,2126.91775,99.76400000000012,700,0,-0.0
bazooka_star,2837.61448,2041.84104,95.77344000000016,700,0,-0.0
thorp1,1781.3454,1956.76433,-175.41893000000005,0,0,-0.0
darunningdead,1559.2285,2276.28279,-217.05429000000004,0,0,-500.0
ill_thought5132,1471.5462,1616.45749,-144.91129,0,0,-0.0
reddito321,1386.43527,1557.4131300000001,-170.97785999999996,0,0,-0.0
mixdealyn,2284.23953,1513.25944,70.98009000000002,700,0,-0.0
king__robbo,2169.60995,1403.76572,65.84422999999992,700,0,-0.0
s-u_2,1239.1968,1361.22736,-122.03056000000015,0,0,-0.0
lce_fight,0,0,-77.39902000000006,0,0,-0.0
barbarossabros,706.70183,1077.67394,-120.97211000000004,0,0,-250.0
incompetentdonuts,0,0,-64.82874000000004,0,0,-0.0
gubbie99,464.6988,510.46026,-45.76146,0,0,-0.0
thecryptos,8275.56176,1717.38132,-191.81955999999997,0,8000,-1250.0
pixieshit,337.32147,659.42015,-72.09868,0,0,-250.0
thinkingperson,309.84567,340.35789,-30.512220000000013,0,0,-0.0
mrjune2040,309.7992,340.30684,-30.507640000000038,0,0,-0.0
michaelaischmann,309.7992,340.30684,-30.507640000000038,0,0,-0.0
caregiverstandard427,309.7992,340.30684,-30.507640000000038,0,0,-0.0
nsfwcryptoposting,282.54849,310.3726,-27.824109999999962,0,0,-0.0
lisa_ray0810,271.09753,297.79401,-26.696480000000008,0,0,-0.0
verysillyman,252.76904,277.6606,-24.89156,0,0,-0.0
fallini47,214.6988,510.46026,-45.76146,0,0,-250.0
tahiraslam8k,232.3494,255.23013,-22.88073,0,0,-0.0
security_raven,232.3494,255.23013,-22.88073,0,0,-0.0
raresanevoice,232.3494,255.23013,-22.88073,0,0,-0.0
good_extension_9642,232.3494,255.23013,-22.88073,0,0,-0.0
jned99,232.3494,255.23013,-22.88073,0,0,-0.0
greenwolf_12,232.3494,255.23013,-22.88073,0,0,-0.0
rezirespira,0,0,-22.88073,0,0,-0.0
aminok,84.59256,935.7915399999999,-101.19897999999999,0,0,-750.0
boiboi3434,0,0,-61.01527999999999,0,0,-500.0
coinfeeds-bot,154.8996,170.15342,-15.253820000000019,0,0,-0.0
guyserbun007,154.8996,170.15342,-15.253820000000019,0,0,-0.0
j-96788-eu,154.8996,170.15342,-15.253820000000019,0,0,-0.0
jamesrosshill,154.8996,170.15342,-15.253820000000019,0,0,-0.0
asad2047,154.8996,170.15342,-15.253820000000019,0,0,-0.0
olmops,154.8996,170.15342,-15.253820000000019,0,0,-0.0
qldvaper88,154.8996,170.15342,-15.253820000000019,0,0,-0.0
mediocre_horror_194,154.8996,170.15342,-15.253820000000019,0,0,-0.0
mallison945,154.8996,170.15342,-15.253820000000019,0,0,-0.0
wonderful_fun543,154.8996,170.15342,-15.253820000000019,0,0,-0.0
carlslarson,121.05956,414.72936,-43.66980000000001,0,0,-250.0
roy1984,116.1747,127.61507,-11.440370000000001,0,0,-0.0
mattg1981,116.1747,127.61507,-11.440370000000001,0,0,-0.0
flaky_word_7636,116.1747,127.61507,-11.440370000000001,0,0,-0.0
sleepycurlsss,0,0,-11.440370000000001,0,0,-0.0
313deezy,77.49627,85.12776,-7.631489999999999,0,0,-0.0
