id,owner,liquidity,user,eth_in_lp,donut_in_lp,percent_of_pool
"11151,12344,23168",0x7f25555a0c85b53cb8934960d0e4ae2df65cecab,7187459392588530940085,MemeyCurmudgeon,0.026172101390161333,697379.4941181589,33.31307530590527
"14528,21402,24418",0xfedd14d3a32faabfbd6e290faa73aec58e894650,4650275134482631577660,DBRiMatt,0.022309677707314193,848723.8203332683,21.55350831031363
10320,0xdd4b43ffa5ceef9e5bf053ea9a74820b68e506d0,2442176000488968169482,,0.0,710686.8895149705,11.319214282929453
10151,0x439cee4cc4ecbd75dc08d9a17e92bddcc11cdb8c,2228164216679413715045,r/EthTrader Multi-Sig Wallet,2.321044215086567,2139000.9480303754,10.327293455140097
"12435,15863,23022",0x93d93069fbc8d0868b93c6be9383ed9f85392474,1131238918076244324397,Paper_cobbler,0.024392938861863972,285111.537176603,5.243166633498382
24576,0x4898c9503caedb585d4ffb41625a590baa348ee7,997427046521611394169,,0.22392148280049184,287633.76343371306,4.622963483756733
15860,0xe1e21819b7f2918980bb85f9f1892e835215a026,869290775881109380806,Humble-Grape1012,0.0,280260.1231795051,4.029066113335891
12117,0x0eafde159a21ca316e1fa7f64e7755e15b9c1349,313157654672644511639,Yinyangkarma060910,0.0,47336.76567084633,1.4514509178984536
"11043,17320",0xeb9a6e724925b178d9627ce05208cfe6a5c11447,290199853064243527036,Kappatalizable,0.0,80458.94659607267,1.345044059499041
24257,0x230c1f68abe6033cba3fe0d2c0d7097e9923c3bc,285920947173035272149,,0.0,220.38662887628107,1.3252118063488267
12160,0x35162a2ed27a8e2dc96471ab6fb63e0fd5058d46,255600824181818749721,Soaring_Eagle590,0.0,45618.98710584587,1.1846814067569706
10319,0xe86b79c26338fc514013eecb042a9f42ff9d12af,184332395022271176408,,0.0,53108.04113277824,0.8543601600068671
12264,0xeca23ebdfdf663d499891a833d22956a6f65dfa2,145892635598707234227,Kindly-Wolf6919,0.024108691880670965,140054.38156860985,0.6761961481533152
20941,0x12985951fa7051f0b1ae2c0749c8285bd742a82b,140254716276001369681,Haruhi4,0.024400083063813915,134642.07750792237,0.6500650188199669
12157,0xb127e23bf80e0d8688d994c1a093e3657856a040,133091597835700987499,fairysquirt,0.0,39909.856554789025,0.6168647611221068
10499,0x1fec4923925f96f02634281260f4555cc802ec6a,80894499868709149619,,0.08426654981130732,77657.38746468155,0.37493701442524824
12986,0xf3a6ab4ab31ab110b272b238a5e29160c9804c05,72130053692756336819,Pibo1987,0.0,8382.256435884334,0.3343147806808545
11918,0x8d23dbae8e5c52d9ac2bb5f393c4ff2e228abae6,37673432651864763160,BuddhaIvan,0.03924383232820094,36165.8748285569,0.1746121724538234
11084,0xdf2ffb4a4c766a322f1fbe6a6e344ca018bdec9e,22040020818175638771,Huelino,0.0,7602.207437688511,0.10215304645988112
24522,0x7b34db486502f78afb65769f7b53f57337b87084,19963545041464078951,vanboiDallas,0.020795716215281604,19164.674421249216,0.09252881206186697
12368,0x1b036f17f5dcb000005e14773f8636b4dde76e39,19420562577934090692,,0.0,2191.872603788431,0.09001214870290418
10485,0xdb721582dc092c59692221d89103061c8b955d7c,17531494615859564964,whaterloowhorks,0.018262286888622435,16829.94607085034,0.08125652869293881
21805,0xd92eac431b6b63c95fdecf91784eeaa47d391dbd,11859946881270124613,hnr01,0.00313519793949162,11385.341823981478,0.05496953540874166
11096,0x1a86440fd49a1e85c46c66ba64c46b98b0e3b6ab,8779210294839764061,evil_betty_,0.0,5177.438882606534,0.04069066379421266
22535,0x7ea45e32a4f75f79615e1c77fa017f2ac4fe66ab,7620914543019724420,Savi321,0.0015212364355246095,7239.9487858102,0.03532209174402757
16655,0x527a12dbc1fe652568457d64826541f25241d5a8,7595209121609858683,,0.0,4999.9999999964275,0.03520294997328172
10298,0x5ed61dee19b3355cf125a5cb95bec8f344523628,4880835864674996233,DrRobbe,0.005084291258107434,4685.52203808351,0.022622131664958644
11875,0xff98aa744a746933f366ca2cf0eb1338f9e5eb36,4827465707478737818,PineapplePie135,0.005028696390506857,4634.287566232303,0.022374766919134786
"10302,12674",0x6b82a00010676e509e520ff4594eeb2005de93de,4439414593844977513,CapnPratt,0.0,1344.7032428599707,0.020576193144324743
10344,0x0b3ab5a8d926d07275291c074225f258d00b4f08,1286606737294797967,The_Nutcrack,0.0,936.0580245253907,0.005963279204440911
12420,0x3808699baf43ba988d1e9acd64237dea36c61593,65162551889730903,,6.787882283171016e-05,62.554976524994245,0.00030202118435145335
