username,points,contrib,comment_score,post_score,offchain_tips,funded,voting,pay2post,eligible_comments,eligible_posts,eligibility_reason,multiplier,address
ROUND 156 BURN,382130.8761,0,0,0,0,0,0,0,0,0,,1.0,0x000000000000000000000000000000000000dEaD
masterpieceloud4931,42500.0,132885.9254,35636.2478,93401.7688,19.0,0.0,0.0,-3750.0,1,1,,1.0,0x16Bd6F1d0d3a5c039ca67e0Da0DEa4bA3823bB23
kirtash93,42500.0,135967.0591,35269.5466,92670.7214,49.2037,0.0,0.0,-4500.0,1,1,,1.0,0xc149c6d082Da03319497A4Cfea8324A88CD1C898
odd-radio-8500,42500.0,81781.3396,43328.5414,29060.0211,31.0,0.0,0.0,-2250.0,1,1,,1.0,0x795065F0368BE7149140D2b134fe2bA072db42AE
drrobbe,42500.0,71225.2513,9800.1578,59788.3071,1020.69,0.0,0.0,-1500.0,1,1,,1.0,0x5eD61dee19B3355cf125a5cB95bEC8f344523628
dbrimatt,42500.0,52461.4163,18204.1872,31620.1777,97.0,0.0,0.0,-1250.0,1,1,,1.0,0xFEdD14d3a32FaAbfbd6E290fAA73Aec58e894650
0xmarcaurel,42500.0,45835.2896,2810.1858,44049.3469,-138.0,0.0,0.0,-2750.0,1,1,,1.0,0x354E93137D53ec467112504d7b0e4961362Ef7B7
aminok,37037.9197,52858.589,2248.1487,37413.0811,-1373.31,0.0,0.0,-1250.0,1,1,,1.0,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF
cymandetv,34940.581,37928.6681,17189.9912,23728.5898,22.0,0.0,0.0,-6000.0,1,1,,1.0,0x94f5926AD5902b41588097788A1e84884aCE4494
siginwanne,27809.4033,39798.6426,17326.8472,26605.2016,31.69,0.0,0.0,-7250.0,1,1,,0.7572563208361923,0xD90C22d2Da086Eaf293E6Ca056116C7d08DecA47
mixdealyn,10550.7789,11841.1434,10453.7789,0.0,97.0,0.0,0.0,0,1,1,,1.0,0xd90deab1894f334febcB808b4b44265Be463aAa2
