username,contrib,base,mod,org,voter,voting_bonus_contrib,post_of_the_week,pay2post
bigron1977,60277.66629,63933.75376000001,0.0,0.0,3147.51253,700,0,-7503.6
fattestlion,54545.99051,58236.51779,0.0,0.0,2920.672719999995,700,0,-7311.2
odd-radio-8500,48406.66516,51404.82535,0.0,0.0,2554.839810000005,700,0,-6253.0
kirtash93,49380.345,51557.13901,0.0,0.0,2645.8059900000007,700,1500,-7022.6
buzzalu,42495.41986,45617.18823,0.0,0.0,2335.0316299999977,700,0,-6156.8
siginwanne,34313.06081,45678.33877,0.0,0.0,-3669.2779600000067,0,0,-7696.0
garden_aria,38398.96341,43230.70827,0.0,0.0,2452.8551399999997,700,0,-7984.6
extension-survey3014,37156.64122,41950.415779999996,0.0,0.0,2394.6254400000034,700,0,-7888.4
goldyluckinblokchain,35819.45555,40001.28578,0.0,0.0,2236.9697699999997,700,0,-7118.8
abdeliq,35510.23612,39295.26388,0.0,0.0,2152.772240000002,700,0,-6637.8
parishyou,24545.37014,33602.90885,0.0,0.0,-2612.1387099999993,0,0,-6445.4
wonderful_bad6531,28888.08169,33146.20566,0.0,0.0,1968.276030000001,700,0,-6926.4
creative_ad7831,28176.11062,32212.815389999996,0.0,0.0,1901.0952300000026,700,0,-6637.8
altruisticpops,22170.60931,30304.20497,0.0,0.0,-2361.595659999999,0,0,-5772.0
inclinedumbbellpress,24843.09133,27758.30614,0.0,0.0,1579.585189999998,700,0,-5194.8
malixshak,20052.2865,29372.38628,0.0,0.0,-2105.0997800000005,0,0,-7215.0
legendrxl,22277.45912,26518.47538,0.0,0.0,1696.7837400000026,700,0,-6637.8
masterpieceloud4931,20047.25412,20501.1265,0.0,0.0,1039.7276199999978,700,500,-2693.6
dbrimatt,20827.20912,17674.67792,0.0,0.0,722.1311999999998,700,2500,-769.6
cymandetv,17226.04451,19582.52996,0.0,0.0,1176.314550000001,700,0,-4232.8
insanemcfries,16948.8281,19066.36246,0.0,0.0,1126.665640000001,700,0,-3944.2
whodontloveboobs,15976.25835,19369.653720000002,0.0,0.0,1293.8046300000005,700,0,-5387.2
carrykind8827,0,0,0.0,0.0,1113.815920000001,700,0,-4329.0
mayusuff,15890.53578,21017.98119,0.0,0.0,1579.9545900000012,700,0,-7407.4
mrwiowijo,10839.99938,15830.485059999999,0.0,0.0,-1142.4856799999998,0,0,-3848.0
drrobbe,31625.99871,4448.77942,0.0,0.0,246.8192899999999,700,27000,-769.6
coinfeeds-bot,2522.92648,2800.7466,0.0,0.0,-277.82011999999986,0,0,-0.0
darunningdead,3133.21406,2843.8395,0.0,0.0,166.57456000000002,700,0,-577.2
huelino,2923.62355,2146.50867,0.0,0.0,77.11487999999963,700,0,-0.0
bashdude_1,2288.70164,6531.97532,0.0,0.0,-202.8736799999997,0,0,-4040.4
michaelaischmann,1682.78083,1868.08563,0.0,0.0,-185.3048000000001,0,0,-0.0
ill_thought5132,1674.85402,1859.28593,0.0,0.0,-184.43191000000002,0,0,-0.0
timbulance,2486.28537,1724.33731,0.0,0.0,61.94806000000017,700,0,-0.0
creeptoecurrentsea,2425.49762,1995.4172400000002,0.0,0.0,114.88038000000006,700,0,-384.8
bazooka_star,2197.7282,1692.94798,0.0,0.0,93.38022000000001,700,0,-288.6
economist_kinda,2260.07588,2000.96163,0.0,0.0,136.31425000000013,700,0,-577.2
ok-chance-4634,1212.88934,1441.33118,0.0,0.0,-132.2418399999999,0,0,-96.2
s-u_2,1049.27956,1164.82433,0.0,0.0,-115.54476999999997,0,0,-0.0
poojaapriyaa,1070.14159,1852.91373,0.0,0.0,-109.37213999999994,0,0,-673.4
mixdealyn,1660.01063,926.71762,0.0,0.0,33.29300999999998,700,0,-0.0
aminok,12992.93471,1418.73714,12142.857142857143,0.0,-87.65957000000003,0,0,-481.0
chemicalanybody6229,779.13906,864.93645,0.0,0.0,-85.79739000000006,0,0,-0.0
friendly-airline2426,0,0,0.0,0.0,-80.43698999999992,0,0,-288.6
abcoathup,656.91368,1108.8878,0.0,0.0,-67.17412000000002,0,0,-384.8
asingleguitarstring,611.25453,773.47427,0.0,0.0,-66.01973999999996,0,0,-96.2
lce_fight,589.4725,654.38415,0.0,0.0,-64.91165000000001,0,0,-0.0
mattg1981,21028.47788,707.64408,12142.857142857143,8333.333333333334,-59.15667999999994,0,0,-96.2
mallison945,511.41575,567.73193,0.0,0.0,-56.31618000000003,0,0,-0.0
raymv1987,510.68329,661.9821,0.0,0.0,-55.098810000000014,0,0,-96.2
shadowknight324,490.27899,734.12871,0.0,0.0,-51.44971999999996,0,0,-192.4
reddito321,20918.02141,490.06162,12142.857142857143,8333.333333333334,-48.23068999999998,0,0,-0.0
boiboi3434,379.6638,611.3868,0.0,0.0,-39.32299999999998,0,0,-192.4
mundane-farm-4117,713.3172,0,0.0,0.0,13.317200000000014,700,0,-0.0
agitateddragonfly769,0,0,0.0,0.0,-30.861120000000028,0,0,-0.0
0x456,278.26395,308.90587,0.0,0.0,-30.64191999999997,0,0,-0.0
313deezy,279.26454,405.15683,0.0,0.0,-29.692290000000014,0,0,-96.2
modern_orange,259.71302,288.31215,0.0,0.0,-28.599130000000002,0,0,-0.0
thorp1,259.71302,288.31215,0.0,0.0,-28.599130000000002,0,0,-0.0
0xmarcaurel,31204.00603,596.31617,12142.857142857143,15000.0,53.43272000000002,700,3000,-288.6
kindly-wolf6919,977.3364,267.71842,0.0,0.0,9.617980000000045,700,0,-0.0
potentialclassroom75,344.76832,1332.9346,0.0,0.0,-26.16628000000003,0,0,-962.0
verysillyman,222.61116,247.1247,0.0,0.0,-24.513539999999978,0,0,-0.0
flaky_word_7636,222.61116,247.1247,0.0,0.0,-24.513539999999978,0,0,-0.0
ellileon,209.0719,327.03285,0.0,0.0,-21.76095000000001,0,0,-96.2
crypto_gaming_,185.5093,205.93725,0.0,0.0,-20.42795000000001,0,0,-0.0
kappatalizable,185.5093,205.93725,0.0,0.0,-20.42795000000001,0,0,-0.0
xwarrioryz,185.5093,205.93725,0.0,0.0,-20.42795000000001,0,0,-0.0
fairysquirt,182.27911,297.26085,0.0,0.0,-18.781740000000013,0,0,-96.2
king__robbo,892.00213,185.34352,0.0,0.0,6.658609999999982,700,0,-0.0
eat-sleep-rave,148.40744,164.7498,0.0,0.0,-16.342359999999985,0,0,-0.0
raresanevoice,148.40744,164.7498,0.0,0.0,-16.342359999999985,0,0,-0.0
beerdrinker_mavech,148.40744,164.7498,0.0,0.0,-16.342359999999985,0,0,-0.0
shibeceo,148.40744,164.7498,0.0,0.0,-16.342359999999985,0,0,-0.0
_ships,148.40744,164.7498,0.0,0.0,-16.342359999999985,0,0,-0.0
jamesrosshill,5141.04283,251.59904999999998,0.0,0.0,-14.356220000000008,0,5000,-96.2
donut-bot,130.34996,144.70387,0.0,0.0,-14.353909999999985,0,0,-0.0
jake123194,12292.19213,144.15607,12142.857142857143,0.0,5.178920000000005,0,0,-0.0
cryotosensei,129.85651,144.15607,0.0,0.0,-14.299560000000014,0,0,-0.0
nethanns,129.85651,144.15607,0.0,0.0,-14.299560000000014,0,0,-0.0
jaskidd05,111.30558,123.56235,0.0,0.0,-12.256769999999989,0,0,-0.0
good_extension_9642,111.30558,123.56235,0.0,0.0,-12.256769999999989,0,0,-0.0
k4yce,111.30558,123.56235,0.0,0.0,-12.256769999999989,0,0,-0.0
heping_qi,111.30558,123.56235,0.0,0.0,-12.256769999999989,0,0,-0.0
mbdtf95,92.75465,102.96863,0.0,0.0,-10.213980000000006,0,0,-0.0
wrong-spirit-391,92.75465,102.96863,0.0,0.0,-10.213980000000006,0,0,-0.0
asleep_fact_2549,90.46769,195.48687999999999,0.0,0.0,-8.819190000000006,0,0,-96.2
sal_t_nuts,74.20372,82.3749,0.0,0.0,-8.171179999999993,0,0,-0.0
ecore,74.20372,82.3749,0.0,0.0,-8.171179999999993,0,0,-0.0
dieselpump510,74.20372,82.3749,0.0,0.0,-8.171179999999993,0,0,-0.0
bigfatcat9712,74.20372,82.3749,0.0,0.0,-8.171179999999993,0,0,-0.0
luminousviper,74.20372,82.3749,0.0,0.0,-8.171179999999993,0,0,-0.0
no-delivery-7048,74.20372,82.3749,0.0,0.0,-8.171179999999993,0,0,-0.0
basefountain,74.20372,82.3749,0.0,0.0,-8.171179999999993,0,0,-0.0
potstar1,74.20372,82.3749,0.0,0.0,-8.171179999999993,0,0,-0.0
garysei124,76.45911,179.89387,0.0,0.0,-7.234759999999994,0,0,-96.2
letsridetheworld,74.0866,177.2252,0.0,0.0,-6.938600000000001,0,0,-96.2
legionticket,56.66196,62.90147,0.0,0.0,-6.239510000000003,0,0,-0.0
r00tus3r,55.65279,61.78117,0.0,0.0,-6.12838,0,0,-0.0
diyrself,55.65279,61.78117,0.0,0.0,-6.12838,0,0,-0.0
allstater2007,55.65279,61.78117,0.0,0.0,-6.12838,0,0,-0.0
comfortable-roll-212,55.65279,61.78117,0.0,0.0,-6.12838,0,0,-0.0
blakes456,55.65279,61.78117,0.0,0.0,-6.12838,0,0,-0.0
qldvaper88,55.65279,61.78117,0.0,0.0,-6.12838,0,0,-0.0
wow247897,55.65279,61.78117,0.0,0.0,-6.12838,0,0,-0.0
-andydufresne-,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
megselepgeci,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
tahiraslam8k,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
deckartcain,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
correct-style-9194,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
crypto-4-freedom,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
j-96788-eu,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
cm19901,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
ufonomura808,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
na7oul,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
distinctengineering2,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
quintavious_danilo,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
agentprovocateur666,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
arthropal,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
1crab1life,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
updown_crypto,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
richper413,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
eznau,0,0,0.0,0.0,-4.085589999999996,0,0,-0.0
thetraveller79,0,0,0.0,0.0,-4.085589999999996,0,0,-0.0
mgoazul,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
alpeshnaper,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
complaintscary8730,0,0,0.0,0.0,-4.085589999999996,0,0,-0.0
oppositebumblebee914,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
tip2663,37.10186,41.18745,0.0,0.0,-4.085589999999996,0,0,-0.0
rayg1991,39.35725,138.70642,0.0,0.0,-3.149169999999998,0,0,-96.2
002_timmy,39.35725,138.70642,0.0,0.0,-3.149169999999998,0,0,-96.2
goodmornevegoodnight,35.86853,134.88159,0.0,0.0,-2.81306,0,0,-96.2
profitablecheetah,31.1847,129.67895,0.0,0.0,-2.2942500000000017,0,0,-96.2
basoosh,18.55093,20.59372,0.0,0.0,-2.04279,0,0,-0.0
bzzking,18.55093,20.59372,0.0,0.0,-2.04279,0,0,-0.0
buttcoin_lol,18.55093,20.59372,0.0,0.0,-2.04279,0,0,-0.0
ellessone23,18.55093,20.59372,0.0,0.0,-2.04279,0,0,-0.0
mysterious-peak464,18.55093,20.59372,0.0,0.0,-2.04279,0,0,-0.0
doctorwho_cares,18.55093,20.59372,0.0,0.0,-2.04279,0,0,-0.0
phillyphanatic35,18.55093,20.59372,0.0,0.0,-2.04279,0,0,-0.0
mlh1993_,0,0,0.0,0.0,-2.04279,0,0,-0.0
zkrooky,18.55093,20.59372,0.0,0.0,-2.04279,0,0,-0.0
incompetentdonuts,12164.19071,20.59372,12142.857142857143,0.0,0.7398500000000006,0,0,-0.0
icy-profile-1655,20.11725,117.36697,0.0,0.0,-1.0497200000000007,0,0,-96.2
deltav8,0.0,0.0,0.0,0.0,0.0,0,0,-0.0
kevin0905,0,96.02752,0.0,0.0,0,0,0,-96.2
99mushroom99,0,85.69923,0.0,0.0,0,0,0,-96.2
theonewhocared,0,82.3749,0.0,0.0,0,0,0,-96.2
iamjide91,0,82.3749,0.0,0.0,0,0,0,-96.2
donsaudi29,0,170.7156,0.0,0.0,0,0,0,-192.4
material-emotion1245,0,62.92577,0.0,0.0,0,0,0,-96.2
jack-jackson-the2nd,0,373.44038,0.0,0.0,0,0,0,-384.8
citadelian,0,0,0.0,0.0,0,0,0,-96.2
physicallodging,0,41.18745,0.0,0.0,0,0,0,-96.2
lorem_epsom_dollar,0,41.18745,0.0,0.0,0,0,0,-96.2
bvandepol,0,352.96731,0.0,0.0,0,0,0,-384.8
chinoui66,0,139.13748,0.0,0.0,0,0,0,-192.4
gfuhhiugaa,0,20.59372,0.0,0.0,0,0,0,-96.2
mattie_kadlec,0,0.04481,0.0,0.0,0,0,0,-96.2
atorcran,0,96.02752,0.0,0.0,0,0,0,-192.4
thijser,0,0,0.0,0.0,0,0,0,-192.4
Prog132487,0.0,0.0,0.0,0.0,0.0,0,0,-0.0
Barbarossabros,0.0,0.0,0.0,0.0,0.0,0,0,-0.0
SecondTimeQuitting,0.0,0.0,0.0,0.0,0.0,0,0,-0.0
carlslarson,20476.19048,0.0,12142.857142857143,8333.333333333334,0.0,0,0,-0.0
