username,comments,comment_upvotes,comment_score,posts,post_upvotes,post_score,total_posts,pay2post,points,blockchain_address,eligibility_reason,eligible_comments,eligible_posts,voter_bonus_comments,comment_upvotes_with_bonus,voter_bonus_posts,post_upvotes_with_bonus,comment_score_after_bonus,post_score_after_bonus,pay2post_after_bonus,points_after_bonus
dbrimatt,11,7.5,21312.0981,6,26.25,102880.785,6,1500,122692.8831,0xFEdD14d3a32FaAbfbd6E290fAA73Aec58e894650,,1,1,0,7.5,0,26.25,22839.158175,116113.5210375,1500.0,137452.67921
kirtash93,11,11.5,32678.55042,9,18.0925,70909.35629,9,2250,101337.90671,0xc149c6d082Da03319497A4Cfea8324A88CD1C898,,1,1,0,11.5,0,18.0925,35020.042535,80029.862071275,2250.0,112799.90461
creative_ad7831,5,5.0,14208.0654,21,18.0462,70727.89418,23,5750,79185.95958,0x5ce03C34F851066DA7a7392526a7EC4F81790e1D,,1,1,0,5.0,0,18.0462,15226.105450,79825.05993702599,5750.0,89301.16539
0xmarcaurel,1,0.5,1420.80654,6,16.0,62708.288,6,1500,62629.09454,0x354E93137D53ec467112504d7b0e4961362Ef7B7,,1,1,0,0.5,0,16.0,1522.610545,70773.95568,1500.0,70796.56623
odd-radio-8500,17,16.0,45465.80928,5,3.75,14697.255,5,1250,58913.06428,0x795065F0368BE7149140D2b134fe2bA072db42AE,,1,1,0,16.0,0,3.75,48723.537440,16587.6458625,1250.0,64061.1833
drrobbe,1,1.0,2841.61308,1,6.0,23515.608,1,250,26107.22108,0x5eD61dee19B3355cf125a5cB95bEC8f344523628,,1,1,0,1.0,0,6.0,3045.221090,26540.233379999998,250.0,29335.45447
king__robbo,12,8.5,24153.71118,0,0,0.0,0,0,24153.71118,0x02977d017bf7002b5B8f32C1D2F3024f96eaB73b,,1,1,0,8.5,0,0,25884.379265,0.0,0.0,25884.37926
bzzking,0,0,0.0,1,6.0,23515.608,1,250,23265.608,0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb,,1,1,0,0,0,6.0,0.00000,26540.233379999998,250.0,26290.23338
cymandetv,2,1.5,4262.41962,9,5.5,21555.974,11,2750,23068.39362,0x94f5926AD5902b41588097788A1e84884aCE4494,,1,1,0,1.5,0,5.5,4567.831635,24328.547265,2750.0,26146.3789
siginwanne,2,2.0,5683.22616,12,4.75,18616.523,14,3500,20799.74916,0xD90C22d2Da086Eaf293E6Ca056116C7d08DecA47,,1,1,0,2.0,0,4.75,6090.442180,21011.0180925,3500.0,23601.46027
mrjune2040,6,7.0,19891.29156,0,0,0.0,0,0,19891.29156,0xa433d3e9B1390e5691Ace268484b8Ac23120Fad4,,1,1,0,7.0,0,0,21316.547630,0.0,0.0,21316.54763
donut-bot,7,7.0,19891.29156,0,0,0.0,0,0,19891.29156,0xa8C8c9e18C763805c91bcB720B2320aDe16a0BBf,,1,1,0,7.0,0,0,21316.547630,0.0,0.0,21316.54763
obolli,1,0.1216,345.54015,4,3.80795,14924.37658,4,1000,14269.91673,0xd44d3D1652851a35ad1A0418114c03a0f97c1D60,,1,1,0,0.1216,0,3.80795,370.298884544,16843.9802832285,1000.0,16214.27917
partymsl,5,5.0,14208.0654,0,0,0.0,0,0,14208.0654,0xDCe583535B74c67CA542aFdA1be01Cb5F505BdC5,,1,1,0,5.0,0,0,15226.105450,0.0,0.0,15226.10545
