username,contrib,base,voter,voting_bonus_contrib,post_of_the_week,pay2post
dbrimatt,137452.67921,124192.8831,14759.796109999996,0,0,-1500.0
kirtash93,112799.90461,103587.90671,11461.997900000002,0,0,-2250.0
creative_ad7831,94301.16539,84935.95958,10115.20581,0,5000,-5750.0
0xmarcaurel,80796.56623,64129.09454,8167.4716899999985,0,10000,-1500.0
odd-radio-8500,64061.1833,60163.06428,5148.119019999998,0,0,-1250.0
drrobbe,30835.45447,26357.22108,3228.2333900000012,0,1500,-250.0
king__robbo,25884.37926,24153.71118,1730.668080000003,0,0,-0.0
bzzking,26290.23338,23515.608,3024.6253800000013,0,0,-250.0
cymandetv,26146.3789,25818.39362,3077.985280000001,0,0,-2750.0
siginwanne,23601.46027,24299.74916,2801.71111,0,0,-3500.0
mrjune2040,21316.54763,19891.29156,1425.2560699999995,0,0,-0.0
donut-bot,21316.54763,19891.29156,1425.2560699999995,0,0,-0.0
obolli,16214.27917,15269.91673,1944.362439999999,0,0,-1000.0
partymsl,15226.10545,14208.0654,1018.0400499999996,0,0,-0.0
wisechest8227,12786.72742,12346.26932,940.4580999999998,0,0,-500.0
alt-co,13020.11669,11757.804,1512.3126900000007,0,0,-250.0
pizzatimedudes,820.28577,0,820.2857700000004,0,0,-0.0
coinfeeds-bot,12180.88436,11366.45232,814.4320399999997,0,0,-0.0
denaneha,9135.66327,8524.83924,610.8240299999998,0,0,-0.0
abcoathup,6090.44218,5683.22616,407.21601999999984,0,0,-0.0
fattestlion,6090.44218,5683.22616,407.21601999999984,0,0,-0.0
xcreampye69x,6090.44218,5683.22616,407.21601999999984,0,0,-0.0
rv8n8,6090.44218,5683.22616,407.21601999999984,0,0,-0.0
right-shopping9589,6090.44218,5683.22616,407.21601999999984,0,0,-0.0
mixdealyn,5862.75026,5781.06408,581.6861799999997,0,0,-500.0
josefumi12,5240.9014,6858.719,882.1823999999997,0,0,-2500.0
incompetentdonuts,4567.83163,4262.41962,305.41201,0,0,-0.0
prospero_quant,4.10423,0,504.1042299999999,0,0,-500.0
aminok,3045.22109,2841.61308,203.60800999999992,0,0,-0.0
admirral,3045.22109,2841.61308,203.60800999999992,0,0,-0.0
j-96788-eu,3045.22109,2841.61308,203.60800999999992,0,0,-0.0
ufonomura808,3045.22109,2841.61308,203.60800999999992,0,0,-0.0
physicaljoe3011,3045.22109,2841.61308,203.60800999999992,0,0,-0.0
shibeceo,3045.22109,2841.61308,203.60800999999992,0,0,-0.0
chiurro,3045.22109,2841.61308,203.60800999999992,0,0,-0.0
sogdianus,3045.22109,2841.61308,203.60800999999992,0,0,-0.0
tserica,3045.22109,2841.61308,203.60800999999992,0,0,-0.0
snoocalculations1742,3045.22109,2841.61308,203.60800999999992,0,0,-0.0
complete_oven_9651,3045.22109,2841.61308,203.60800999999992,0,0,-0.0
dont_agree_with_me,1522.61055,1420.80654,101.80401000000006,0,0,-0.0
crosspuffs,855.84306,979.817,126.02606000000003,0,0,-250.0
due_camel_4545,0,0,50.410420000000016,0,0,-250.0
according_time5120,0,0.0,0,0,0,-250.0
