username,comments,comment_upvotes,comment_score,posts,post_upvotes,post_score,total_posts,pay2post,points,blockchain_address,multiplier,need_to_buy,current_balance,earned,sent_to_lp,membership
Creative_Ad7831,76,13.5,4120.287253141831,21,2233.0,240747.0826991375,23.0,-6199.264332825976,238668.10561945336,0x5ce03C34F851066DA7a7392526a7EC4F81790e1D,1.0,0.0,582671.5921,597070.4666,0.0,39527.0
kirtash93,124,190.0,57989.22800718132,9,820.0,88406.90005073567,9.0,-2425.799086757991,143970.328971159,0xc149c6d082Da03319497A4Cfea8324A88CD1C898,1.0,0.0,1442740.422222266,1158674.3944,0.0,36307.0
Denaneha,52,268.0,81795.33213644524,0,0.0,0.0,0.0,-0.0,81795.33213644524,0x7dF9cf2BbA031194C518cEDFf5Beac23E2f46969,1.0,0.0,8861.0296,8861.0296,0.0,0.0
0xMarcAurel,13,9.5,2899.4614003590664,6,634.0,68353.62760020295,6.0,-1617.199391171994,69635.88960939003,0x354E93137D53ec467112504d7b0e4961362Ef7B7,0.12775405553362296,234128.13493843324,0.0,405858.2996,287130.48680491466,0.0
partymsl,72,135.5,41355.47576301616,0,0.0,0.0,0.0,-0.0,41355.47576301616,0xDCe583535B74c67CA542aFdA1be01Cb5F505BdC5,1.0,0.0,20416.3933,20416.3933,0.0,0.0
CymandeTV,33,2.5,763.016157989228,9,340.0,36656.51953323186,11.0,-2964.865550481989,34454.6701407391,0x94f5926AD5902b41588097788A1e84884aCE4494,1.0,0.0,595542.7340625136,450922.09799999994,0.0,15627.0
IncompetentDonuts,7,51.0,15565.52962298025,0,0.0,0.0,0.0,-0.0,15565.52962298025,0x2A043F315F24762937CBCf0EB6CB313a43bDE534,0.15993426252965537,92084.59259712446,6902.2979,167409.8576,114131.49830643603,0.0
terp_studios,7,51.0,15565.52962298025,0,0.0,0.0,0.0,-0.0,15565.52962298025,0xA92c2dFb5974c0531A1028Fc2f3acEf615F468aE,1.0,0.0,1.2823,1.2823,0.0,0.0
bzzking,9,15.0,4578.096947935368,1,104.0,11212.582445459158,1.0,-269.533231861999,15521.146161532528,0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb,1.0,0.0,26055.5078,33422.8502,0.0,0.0
Odd-Radio-8500,80,38.0,11597.845601436264,5,48.75,5255.898021308981,5.0,-1347.666159309995,15506.077463435253,0x795065F0368BE7149140D2b134fe2bA072db42AE,0.9275259371660101,0.0,651430.7814453179,956921.2983000001,46107.59916046726,8218.0
obolli,7,5.0,1526.032315978456,4,131.5,14177.447995941147,4.0,-1078.132927447996,14625.347384471608,0xd44d3D1652851a35ad1A0418114c03a0f97c1D60,1.0,0.0,34753.6041,41261.604100000004,0.0,6508.0
mrjune2040,10,45.0,13734.290843806104,0,0.0,0.0,0.0,-0.0,13734.290843806104,0xa433d3e9B1390e5691Ace268484b8Ac23120Fad4,1.0,0.0,4406.8081,4406.8081,0.0,0.0
Josefumi12,0,0.0,0.0,10,150.25,16198.94723490614,10.0,-2695.33231861999,13503.61491628615,0xA9c455ae9838840187801ce4f0ef1DB28EAeb326,0.35091876496125296,31980.214600000007,17106.7085,81811.53850000001,0.0,0.0
centralbankerscum,1,40.0,12208.258527827647,0,0.0,0.0,0.0,-0.0,12208.258527827647,0x6E50910Df475eb94Da8C72ac29FA6B753691Cb7b,0.2680703011655321,1429.5453859353715,435.3165340646284,3108.1032,0.0,0.0
moneyfink,1,40.0,12208.258527827647,0,0.0,0.0,0.0,-0.0,12208.258527827647,0xBf5F412a5004c5342c31eba5770bDa36aB203A02,1.0,0.0,1608.3614,1608.3614,0.0,0.0
SigiNwanne,16,15.0,4578.096947935368,14,103.5,11158.67579908676,14.0,-3773.465246067986,11963.30750095414,0xD90C22d2Da086Eaf293E6Ca056116C7d08DecA47,0.8362780035303812,0.0,436641.0054,718153.7461999999,0.0,3993.0
According_Time5120,0,0.0,0.0,1,82.0,8840.690005073568,1.0,-269.533231861999,8571.156773211569,0xeDDf642049e08c287335a9aa87854E3442ff99B4,1.0,0.0,2199.5668,2199.5668,0.0,0.0
