username,points,contrib,comment_score,post_score,offchain_tips,funded,voting,pay2post,eligible_comments,eligible_posts,eligibility_reason,multiplier,address
ROUND 161 BURN,385242.7139,0,0,0,0,0,0,0,0,0,,1.0,0x000000000000000000000000000000000000dEaD
dbrimatt,42500.0,137452.6792,21312.0981,102880.785,-374.05,0.0,0.0,-1500.0,1,1,,1.0,0xFEdD14d3a32FaAbfbd6E290fAA73Aec58e894650
kirtash93,42500.0,112799.9046,32678.5504,70909.3563,-40.0,0.0,0.0,-2250.0,1,1,,1.0,0xc149c6d082Da03319497A4Cfea8324A88CD1C898
creative_ad7831,42500.0,94301.1654,14208.0654,70727.8942,4.0,0.0,0.0,-5750.0,1,1,,1.0,0x5ce03C34F851066DA7a7392526a7EC4F81790e1D
odd-radio-8500,42500.0,64061.1833,45465.8093,14697.255,-25.0,0.0,0.0,-1250.0,1,1,,0.9275259371660101,0x795065F0368BE7149140D2b134fe2bA072db42AE
drrobbe,26124.2211,30835.4545,2841.6131,23515.608,17.0,0.0,0.0,-250.0,1,1,,1.0,0x5eD61dee19B3355cf125a5cB95bEC8f344523628
king__robbo,24145.7112,25884.3793,24153.7112,0.0,-8.0,0.0,0.0,0,1,1,,1.0,0x02977d017bf7002b5B8f32C1D2F3024f96eaB73b
bzzking,23272.608,26290.2334,0.0,23515.608,7.0,0.0,0.0,-250.0,1,1,,1.0,0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb
cymandetv,23068.3936,26146.3789,4262.4196,21555.974,0.0,0.0,0.0,-2750.0,1,1,,1.0,0x94f5926AD5902b41588097788A1e84884aCE4494
mrjune2040,19947.2916,21316.5476,19891.2916,0.0,56.0,0.0,0.0,0,1,1,,1.0,0xa433d3e9B1390e5691Ace268484b8Ac23120Fad4
donut-bot,19899.2916,21316.5476,19891.2916,0.0,8.0,0.0,0.0,0,1,1,,1.0,0xa8C8c9e18C763805c91bcB720B2320aDe16a0BBf
siginwanne,17405.3727,23601.4603,5683.2262,18616.523,11.0,0.0,0.0,-3500.0,1,1,,0.8362780035303812,0xD90C22d2Da086Eaf293E6Ca056116C7d08DecA47
obolli,14280.9167,16214.2792,345.5401,14924.3766,11.0,0.0,0.0,-1000.0,1,1,,1.0,0xd44d3D1652851a35ad1A0418114c03a0f97c1D60
partymsl,14212.0654,15226.1054,14208.0654,0.0,4.0,0.0,0.0,0,1,1,,1.0,0xDCe583535B74c67CA542aFdA1be01Cb5F505BdC5
wisechest8227,11842.2693,12786.7274,11366.4523,979.817,-4.0,0.0,0.0,-500.0,1,1,,1.0,0x5dA9d055e6d8EBE0bFD59BD15cf631cBEF786082
alt-co,11510.804,13020.1167,0.0,11757.804,3.0,0.0,0.0,-250.0,1,1,,1.0,0xc27141e41BfC20d37911E5D6178EaabA10F825d8
coinfeeds-bot,11372.4523,12180.8844,11366.4523,0.0,6.0,0.0,0.0,0,1,1,,1.0,0xd056666321700092B032b2571431B2478cD6512E
denaneha,8526.8392,9135.6633,8524.8392,0.0,2.0,0.0,0.0,0,1,1,,1.0,0x7dF9cf2BbA031194C518cEDFf5Beac23E2f46969
0xmarcaurel,8029.1208,80796.5662,1420.8065,62708.288,28.0,0.0,0.0,-1500.0,1,1,,0.12775405553362296,0x354E93137D53ec467112504d7b0e4961362Ef7B7
right-shopping9589,5784.2262,6090.4422,5683.2262,0.0,101.0,0.0,0.0,0,1,1,,1.0,0xAb093C258B2E2159E4CEC3aC5c4A7FCb594b951F
abcoathup,5687.2262,6090.4422,5683.2262,0.0,4.0,0.0,0.0,0,1,1,,1.0,0x13ebd3443fa5575F0Eb173e323D8419F7452CfB1
rv8n8,5687.2262,6090.4422,5683.2262,0.0,4.0,0.0,0.0,0,1,1,,1.0,0x7B07A6219b12A76AAA295C3BAbbA27DdD1AfD826
xcreampye69x,5685.2262,6090.4422,5683.2262,0.0,2.0,0.0,0.0,0,1,1,,1.0,0xe64C85059F9560fd475cc4d3DDe881334917D4eB
mixdealyn,5283.0641,5862.7503,2841.6131,2939.451,2.0,0.0,0.0,-500.0,1,1,,1.0,0xd90deab1894f334febcB808b4b44265Be463aAa2
aminok,2842.6131,3045.2211,2841.6131,0.0,1.0,0.0,0.0,0,1,1,,1.0,0xbEA18A39a1cEe253705eB5e966fe23F26dD109eF
admirral,2842.6131,3045.2211,2841.6131,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x23930436f8ecBCC18149f68e82E60Eeb7b0aF4D0
j-96788-eu,2842.6131,3045.2211,2841.6131,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x2AAB3E4A213052C648A6331d28d5e0F3abD6C167
ufonomura808,2842.6131,3045.2211,2841.6131,0.0,1.0,0.0,0.0,0,1,1,,1.0,0xF0d241d7C6ffE48D6bFb14e55882897548741De3
physicaljoe3011,2842.6131,3045.2211,2841.6131,0.0,1.0,0.0,0.0,0,1,1,,1.0,0xA3B9703bE58185CC05C010B50Eba8f6dE69468a6
shibeceo,2842.6131,3045.2211,2841.6131,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x6423c5ce78E66d37172163D581469822879b1d4a
chiurro,2842.6131,3045.2211,2841.6131,0.0,1.0,0.0,0.0,0,1,1,,1.0,0xd26b84a7c98ca65e53025f01169CCB8D156CA711
sogdianus,2842.6131,3045.2211,2841.6131,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x43cdc000059CB03D649F3c9B719B1d51f9a71647
tserica,2842.6131,3045.2211,2841.6131,0.0,1.0,0.0,0.0,0,1,1,,1.0,0x2dED425b17b63c26bC51C8888466B560717C1Dd8
snoocalculations1742,2842.6131,3045.2211,2841.6131,0.0,1.0,0.0,0.0,0,1,1,,1.0,0xDcae928B358377FCEEaF6D681dC589300258C8d9
josefumi12,1540.5563,5240.9014,0.0,6858.719,11.0,0.0,0.0,-2500.0,1,1,,0.35091876496125296,0xA9c455ae9838840187801ce4f0ef1DB28EAeb326
fattestlion,1026.5065,6090.4422,5683.2262,0.0,-1.95,0.0,0.0,0,1,1,,0.18096350028152774,0x2dBB136D8DC31698ADA7C56E0853C255629d0cA6
crosspuffs,730.817,855.8431,0.0,979.817,1.0,0.0,0.0,-250.0,1,1,,1.0,0xc7e817e5970e294E269Ff63214393747cC1AF1cb
incompetentdonuts,683.7069,4567.8316,4262.4196,0,2.0,0.0,0.0,0,1,0,comments only,0.15993426252965537,0x2A043F315F24762937CBCf0EB6CB313a43bDE534
complete_oven_9651,285.1613,3045.2211,2841.6131,0.0,1.0,0.0,0.0,0,1,1,,0.10000000000000009,0xBa4f232b8461e1f4d92253E587261076459274b3
pizzatimedudes,154.0,820.2858,0,0,154.0,0.0,0.0,0,0,0,karma and/or age,1.0,0x60BD73DF813ABE085858CC5191B0451E733aB56B
dont_agree_with_me,143.0807,1522.6106,1420.8065,0.0,1.0,0.0,0.0,0,1,1,,0.10000000000000009,0x801dd958bA458Cbd68D663d7D76432dD3c6EE60a
prospero_quant,1.0,4.1042,0,0,1.0,0.0,0.0,-500.0,0,0,karma and/or age,1.0,0xF1F4f85EC7393d01fF52E5eA22Fc39457b62a19c
due_camel_4545,1.0,0.0,0,0,1.0,0.0,0.0,-250.0,0,0,karma and/or age,1.0,0xD7A89a0372B777EC151a039c352754d608C278F6
according_time5120,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-250.0,1,1,,1.0,0xeDDf642049e08c287335a9aa87854E3442ff99B4
