username,comments,comment_upvotes,comment_score,posts,post_upvotes,post_score,total_posts,pay2post,points,blockchain_address,eligibility_reason,eligible_comments,eligible_posts,voter_bonus_comments,comment_upvotes_with_bonus,voter_bonus_posts,post_upvotes_with_bonus,comment_score_after_bonus,post_score_after_bonus,pay2post_after_bonus,points_after_bonus
kirtash93,473,479.3266,33594.87018,57,576.85905,92136.80429,57,14250,111481.67447,0xc149c6d082Da03319497A4Cfea8324A88CD1C898,,1,1,71.89899,551.22559,86.52886,663.38791,35560.3565757496,96366.6400795249,14250.0,117676.99666
bigron1977,419,430.6377,30182.38009,57,455.32915,72725.86394,58,14500,88408.24403,0x65C33426B9eB958dA182d008f3e40597398Eb752,,1,1,64.59566,495.23336,68.29937,523.62852,31948.2171896384,76064.5775444028,14500.0,93512.79473
fattestlion,378,352.71795,24721.1687,29,323.6517,51694.14147,30,7500,68915.31018,0x2dBB136D8DC31698ADA7C56E0853C255629d0cA6,,1,1,52.90769,405.62564,48.54776,372.19946,26167.4941373216,54067.32751522939,7500.0,72734.82165
masterpieceloud4931,240,245.18505,17184.44152,22,197.49688,31544.50107,22,5500,43228.94259,0x16Bd6F1d0d3a5c039ca67e0Da0DEa4bA3823bB23,,1,1,36.77776,281.96281,29.62453,227.12141,18189.8268995464,32992.653079589894,5500.0,45682.47998
odd-radio-8500,420,447.6424,31374.19938,13,29.0757,4644.015,13,3250,32768.21438,0x795065F0368BE7149140D2b134fe2bA072db42AE,,1,1,67.14636,514.78876,4.36136,33.43706,33209.7642034144,4857.2141242934,3250.0,34816.97833
extension-survey3014,301,309.966,21724.78542,76,164.20982,26227.84285,76,19000,28952.62827,0x1Cc3ddB501900fD286E4c5564D769791Ad087B42,,1,1,0,309.966,0,164.20982,19996.35301104,23853.8393343098,19000.0,24850.19235
siginwanne,298,300.62945,21070.40866,72,155.70747,24869.83458,72,18000,27940.24325,0xD90C22d2Da086Eaf293E6Ca056116C7d08DecA47,,1,1,45.09442,345.72387,23.35612,179.06359,22303.1446960728,26011.563172560098,18000.0,30314.70787
creative_ad7831,152,157.7476,11056.157,57,193.2949,30873.35524,58,14500,27429.51224,0x5ce03C34F851066DA7a7392526a7EC4F81790e1D,,1,1,23.66214,181.40974,28.99424,222.28914,11703.0035574256,32290.6963257246,14500.0,29493.69988
abdeliq,328,335.62315,23523.03451,71,130.30627,20812.71631,71,17750,26585.75082,0x68E5b83d9A4E82d3833dE0365543E7d26897B413,,1,1,41.95289,377.57604,16.28828,146.59455,24357.9740498976,21294.9678830745,17750.0,27902.94193
whodontloveboobs,131,130.7228,9162.05255,15,133.8519,21379.02892,16,4000,26541.08147,0x133299c1c5bc0C64eb1365444031fDa1161E0F58,,1,1,0,130.7228,0,133.8519,8433.116068832,19443.914603841,4000.0,23877.03067
inclinedumbbellpress,166,161.5966,11325.92433,20,118.76967,18970.07302,20,5000,25295.99735,0x0F00d07f7A1F4129E1E2509A87d9968C2c356443,,1,1,24.23949,185.83609,17.81545,136.58512,11988.5537698696,19840.954139876798,5000.0,26829.50791
dbrimatt,227,212.56365,14898.08458,9,76.5954,12233.93371,9,2250,24882.01829,0xFEdD14d3a32FaAbfbd6E290fAA73Aec58e894650,,1,1,31.88455,244.44820,11.48931,88.08471,15769.7053874080,12795.571666476899,2250.0,26315.27705
garden_aria,130,134.3894,9419.03589,26,116.47217,18603.11283,26,6500,21522.14872,0x2B1b026A37B562B0DE7A20b3C514873752a01990,temp ban,0,0,0,134.3894,0,116.47217,8669.653714736,16919.2587270263,6500.0,19088.91244
wonderful_bad6531,262,260.67745,18270.26727,65,112.12927,17909.45824,66,16500,19679.72551,0x823203809D31109e99F27092dE19F60a22DF61C5,,1,1,0,260.67745,0,112.12927,16816.6776750280,16288.3900076953,16500.0,16605.06768
altruisticpops,163,172.962,12122.49839,41,110.98372,17726.48925,42,10500,19348.98764,0x6fa6922842FD09782A61b3B11ab4fb00EB87B1C0,,1,1,25.94430,198.90630,16.64756,127.63128,12831.7318380720,18540.280034119198,10500.0,20872.01187
parishyou,197,199.12735,13956.36602,67,138.6109,22139.14364,68,17000,19095.50966,0x9DdA0dA917BeACbcd99c39575877C2AfA2769fbC,,1,1,0,199.12735,0,138.6109,12845.9920918840,20135.227835850998,17000.0,15981.21993
mrwiowijo,197,192.17555,13469.13077,2,14.1374,2258.04702,2,500,15227.17778,0x168863730D01f580282968f3e44134996095F001,deleted or shadow ban,0,0,0,192.17555,0,14.1374,12397.5214632920,2053.6607871859997,500.0,13951.18225
drrobbe,80,76.6286,5370.71773,6,52.5726,8396.97558,6,1500,12267.69331,0x5eD61dee19B3355cf125a5cB95bEC8f344523628,,1,1,11.49429,88.12289,7.88589,60.45849,5684.9345308616,8782.4656701711,1500.0,12967.4002
cymandetv,87,82.7015,5796.35296,8,38.13063,6090.28138,8,2000,9886.63434,0x94f5926AD5902b41588097788A1e84884aCE4494,,1,1,12.40522,95.10672,5.71959,43.85022,6135.4714608768,6369.8754596658,2000.0,10505.34692
0xmarcaurel,14,11.7858,826.03891,7,59.989,9581.53426,7,1750,8657.57317,0x0c4B8B79E0ebA3e407Bc175176Db496474046e9a,special membership,1,1,1.76787,13.55367,8.99835,68.98735,874.3667689848,10021.4053154665,1750.0,9145.77208
josefumi12,61,57.4649,4027.57922,2,8.9258,1425.64234,2,500,4953.22157,0xA9c455ae9838840187801ce4f0ef1DB28EAeb326,,1,1,0,57.4649,0,8.9258,3707.143448456,1296.6008922620001,500.0,4503.74434
legendrxl,48,49.0,3434.29436,16,24.14973,3857.23078,16,4000,3291.52514,0xE40EaDCD565221B63bB106D668baa43941B53a65,,1,1,7.35000,56.35000,3.62246,27.77219,3635.2196440000,4034.3102393140994,4000.0,3669.52988
boiboi3434,42,40.6947,2852.19548,9,16.44435,2626.51658,9,2250,3228.71206,0x556F5911Bc0F3a14b3427BB6d3e84c8022E44b20,deleted or shadow ban,0,0,0,40.6947,0,16.44435,2625.273697368,2388.7784716964998,2250.0,2764.05217
timbulance,25,26.4258,1852.12196,0,0,0.0,0,0,1852.12196,0xf8b2808E19413E0b14C2966dD6afB497c7F5A919,,1,1,3.96387,30.38967,0.00000,0.00000,1960.4813728248,0.0,0.0,1960.48137
ally_kuwe7225,23,21.5,1506.88426,0,0,0.0,0,0,1506.88426,0x2fC81527bED2144f05eF3b0916c548eBDacFd40B,perma ban,0,0,0,21.5,0,0,1386.995960,0.0,0.0,1386.99596
michaelaischmann,22,21.4277,1501.81692,0,0,0.0,0,0,1501.81692,0xa18aBe5EDDaB2cdBF2837425FAaf32bd9B0085Dc,,1,1,0,21.4277,0,0,1382.331782888,0.0,0.0,1382.33178
bzzking,2,2.0,140.17528,4,14.47373,2311.76616,4,1000,1451.94144,0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb,,1,1,0,2.0,0,14.47373,129.022880,2102.5175594746997,1000.0,1231.54044
creeptoecurrentsea,17,21.0,1471.84044,4,6.8272,1090.45076,5,1250,1312.2912,0x1e6FF9e5E7C301A6290Dd14662273A5E5817a2A6,,1,1,0,21.0,0,6.8272,1354.740240,991.749043408,1250.0,1096.48928
thorp1,17,18.0,1261.57752,0,0,0.0,0,0,1261.57752,0x3f65Ad6363073D3328b3F47273D7F3C7f574fD13,,1,1,0,18.0,0,0,1161.205920,0.0,0.0,1161.20592
