username,comments,comment_upvotes,comment_score,posts,post_upvotes,post_score,total_posts,pay2post,points,blockchain_address,eligibility_reason,eligible_comments,eligible_posts
kirtash93,473,479.3266,33594.87018,57,576.85905,92136.80429,57,14250,111481.67447,0xc149c6d082Da03319497A4Cfea8324A88CD1C898,,1,1
bigron1977,419,430.6377,30182.38009,57,455.32915,72725.86394,58,14500,88408.24403,0x65C33426B9eB958dA182d008f3e40597398Eb752,,1,1
fattestlion,378,352.71795,24721.1687,29,323.6517,51694.14147,30,7500,68915.31018,0x2dBB136D8DC31698ADA7C56E0853C255629d0cA6,,1,1
masterpieceloud4931,240,245.18505,17184.44152,22,197.49688,31544.50107,22,5500,43228.94259,0x16Bd6F1d0d3a5c039ca67e0Da0DEa4bA3823bB23,,1,1
odd-radio-8500,420,447.6424,31374.19938,13,29.0757,4644.015,13,3250,32768.21438,0x795065F0368BE7149140D2b134fe2bA072db42AE,,1,1
extension-survey3014,301,309.966,21724.78542,76,164.20982,26227.84285,76,19000,28952.62827,0x1Cc3ddB501900fD286E4c5564D769791Ad087B42,,1,1
siginwanne,298,300.62945,21070.40866,72,155.70747,24869.83458,72,18000,27940.24325,0xD90C22d2Da086Eaf293E6Ca056116C7d08DecA47,,1,1
creative_ad7831,152,157.7476,11056.157,57,193.2949,30873.35524,58,14500,27429.51224,0x5ce03C34F851066DA7a7392526a7EC4F81790e1D,,1,1
abdeliq,328,335.62315,23523.03451,71,130.30627,20812.71631,71,17750,26585.75082,0x68E5b83d9A4E82d3833dE0365543E7d26897B413,,1,1
whodontloveboobs,131,130.7228,9162.05255,15,133.8519,21379.02892,16,4000,26541.08147,0x133299c1c5bc0C64eb1365444031fDa1161E0F58,,1,1
inclinedumbbellpress,166,161.5966,11325.92433,20,118.76967,18970.07302,20,5000,25295.99735,0x0F00d07f7A1F4129E1E2509A87d9968C2c356443,,1,1
dbrimatt,227,212.56365,14898.08458,9,76.5954,12233.93371,9,2250,24882.01829,0xFEdD14d3a32FaAbfbd6E290fAA73Aec58e894650,,1,1
garden_aria,130,134.3894,9419.03589,26,116.47217,18603.11283,26,6500,21522.14872,0x2B1b026A37B562B0DE7A20b3C514873752a01990,temp ban,0,0
wonderful_bad6531,262,260.67745,18270.26727,65,112.12927,17909.45824,66,16500,19679.72551,0x823203809D31109e99F27092dE19F60a22DF61C5,,1,1
altruisticpops,163,172.962,12122.49839,41,110.98372,17726.48925,42,10500,19348.98764,0x6fa6922842FD09782A61b3B11ab4fb00EB87B1C0,,1,1
parishyou,197,199.12735,13956.36602,67,138.6109,22139.14364,68,17000,19095.50966,0x9DdA0dA917BeACbcd99c39575877C2AfA2769fbC,,1,1
mrwiowijo,197,192.17555,13469.13077,2,14.1374,2258.04702,2,500,15227.17778,0x168863730D01f580282968f3e44134996095F001,deleted or shadow ban,0,0
drrobbe,80,76.6286,5370.71773,6,52.5726,8396.97558,6,1500,12267.69331,0x5eD61dee19B3355cf125a5cB95bEC8f344523628,,1,1
cymandetv,87,82.7015,5796.35296,8,38.13063,6090.28138,8,2000,9886.63434,0x94f5926AD5902b41588097788A1e84884aCE4494,,1,1
0xmarcaurel,14,11.7858,826.03891,7,59.989,9581.53426,7,1750,8657.57317,0x0c4B8B79E0ebA3e407Bc175176Db496474046e9a,special membership,1,1
josefumi12,61,57.4649,4027.57922,2,8.9258,1425.64234,2,500,4953.22157,0xA9c455ae9838840187801ce4f0ef1DB28EAeb326,,1,1
legendrxl,48,49.0,3434.29436,16,24.14973,3857.23078,16,4000,3291.52514,0xE40EaDCD565221B63bB106D668baa43941B53a65,,1,1
boiboi3434,42,40.6947,2852.19548,9,16.44435,2626.51658,9,2250,3228.71206,0x556F5911Bc0F3a14b3427BB6d3e84c8022E44b20,deleted or shadow ban,0,0
timbulance,25,26.4258,1852.12196,0,0,0.0,0,0,1852.12196,0xf8b2808E19413E0b14C2966dD6afB497c7F5A919,,1,1
ally_kuwe7225,23,21.5,1506.88426,0,0,0.0,0,0,1506.88426,0x2fC81527bED2144f05eF3b0916c548eBDacFd40B,perma ban,0,0
michaelaischmann,22,21.4277,1501.81692,0,0,0.0,0,0,1501.81692,0xa18aBe5EDDaB2cdBF2837425FAaf32bd9B0085Dc,,1,1
bzzking,2,2.0,140.17528,4,14.47373,2311.76616,4,1000,1451.94144,0x7C48CF841a4cd5754127148fB9B20580Fc51eBeb,,1,1
creeptoecurrentsea,17,21.0,1471.84044,4,6.8272,1090.45076,5,1250,1312.2912,0x1e6FF9e5E7C301A6290Dd14662273A5E5817a2A6,,1,1
thorp1,17,18.0,1261.57752,0,0,0.0,0,0,1261.57752,0x3f65Ad6363073D3328b3F47273D7F3C7f574fD13,,1,1
buzzalu,21,15.16085,1062.5882,1,2.55995,408.87911,1,250,1221.4673,0xb89CB46A5Cf811b99A3608C8b9e63aD0DE990Fe0,,1,1
darunningdead,17,16.0,1121.40224,0,0,0.0,0,0,1121.40224,0xF233ef00009ba3BC1a5872678Fb8E6e81089f5FF,,1,1
coinfeeds-bot,15,15.0,1051.3146,0,0,0.0,0,0,1051.3146,0xd056666321700092B032b2571431B2478cD6512E,,1,1
incompetentdonuts,8,6.0,420.52584,1,5.0,798.6076,1,250,969.13344,0x2A043F315F24762937CBCf0EB6CB313a43bDE534,karma and/or age,0,0
lce_fight,21,13.0038,911.40565,0,0,0.0,0,0,911.40565,0x98C8ec241778dE453Cd59a1dA9176ecAc4decf79,,1,1
s-u_2,16,12.68005,888.71478,0,0,0.0,0,0,888.71478,0x01D3d24F754D64C7F9942c00aEF89E6F64B4C205,,1,1
king__robbo,11,11.5,806.00786,0,0,0.0,0,0,806.00786,0x02977d017bf7002b5B8f32C1D2F3024f96eaB73b,,1,1
mixdealyn,10,11.0,770.96404,0,0,0.0,0,0,770.96404,0xd90deab1894f334febcB808b4b44265Be463aAa2,,1,1
insanemcfries,5,5.0495,353.90754,2,5.03735,804.5732,2,500,658.48074,0xcBedBe4f7b04Def3b4ddb581c266a0c45023D99f,,1,1
