user,comments,posts,reason
kirtash93,1,1,
masterpieceloud4931,1,1,
inclinedumbbellpress,1,1,
bigron1977,1,1,
siginwanne,1,1,
odd-radio-8500,1,1,
dbrimatt,1,1,
creative_ad7831,1,1,
wonderful_bad6531,1,1,
legendrxl,1,1,
abdeliq,1,1,
extension-survey3014,1,1,
altruisticpops,0,0,suspended
drrobbe,1,1,
0xmarcaurel,1,1,
parishyou,1,1,
josefumi12,1,1,
cymandetv,1,1,
puf88,1,1,
timbulance,1,1,
bzzking,1,1,
mixdealyn,1,1,
fattestlion,1,1,
darunningdead,1,1,
king__robbo,1,1,
s-u_2,1,1,
ice-fight,0,0,karma and/or age
snoo_70674,1,1,
epicureanmystic,1,1,
goonzoo,1,1,
thorp1,1,1,
aminok,1,1,
chiurro,1,1,
cassmach,1,1,
qldvaper88,1,1,
security_raven,1,1,
oppositebumblebee914,1,1,
ink666,1,1,
basjes23,1,1,
parush9,1,1,
starwaverraver,1,1,
thinkingperson,1,1,
k4yce,1,0,comments only
celmate,1,1,
opbmedia,1,1,
tracyspacygo,1,1,
creeptoecurrentsea,1,1,
physicallodging,1,1,
thebaldmaniac,1,1,
verysillyman,1,1,
roy1984,1,1,
ieatmoondust,1,1,
puddingbuks26,1,1,
inverses2,1,1,
nsfwcryptoposting,1,1,
nomall5787,1,0,comments only
good_extension_9642,1,1,
wales-bloke,1,1,
jned99,1,1,
weallwinoneday,1,1,
heping_qi,1,1,
minute-many-1775,1,0,comments only
watchface38,1,1,
cgi_ocd,1,1,
no-delivery-7048,1,1,
wallstlegends,1,1,
bazinguh,1,1,
remedyiii,1,1,
valz_,1,1,
savi321,1,1,
maddhy,1,1,
poojaapriyaa,1,1,
0x456,1,1,
imdoubleb,1,1,
visible-ad743,1,1,
ngin-x,1,1,
blazarious,1,1,
mrjune2040,1,1,
mashtun25,1,1,
jjaymay29,1,1,
killawaspattack,1,1,
fluid_department_120,1,1,
megselepgeci,1,1,
flclst3v3,1,1,
lee911123,1,1,
theelusivefox,1,1,
ch40440,1,1,
raresanevoice,1,1,
j-96788-eu,1,1,
ufonomura808,1,1,
majoraaftermidnight,1,1,
dzurostoka,1,1,
quintavious_danilo,1,1,
alteredcabron2,1,1,
mattie_kadlec,1,1,
mediocre_horror_194,1,1,
merryfasos,1,1,
armandeluz,1,1,
j0n82,1,1,
99mushroom99,1,1,
flaky_word_7636,1,1,
soggygreyduck,0,0,suspended
klutzy_beyond_9206,1,1,
pablito-010,1,1,
weedrambo,1,1,
kamill85,1,1,
madfortune,1,1,
nuclearwastewater,1,1,
revolutionarypie5223,1,1,
chriswontmiss,1,0,comments only
yutingzhang,0,0,deleted or shadow ban
sogdianus,1,1,
agreeable_day_2587,0,0,karma and/or age
ateniensees,0,0,karma and/or age
turbulent_ad336,0,0,karma and/or age
artistok1794,0,0,karma and/or age
mrccasals,1,1,
coinfeeds-bot,1,1,
asad2047,1,1,
daltadka911,1,1,
caregiverstandard427,1,1,
landswipe,1,1,
govnoxy,0,0,karma and/or age
donut-bot,1,1,
economist_kinda,1,1,
criticalcobraz,1,1,
4rkal,1,1,
aitalianstallion,1,1,
prettynewspaper1311,0,0,karma and/or age
