from_user,from_address,to_user,to_address,tx_hash,block,amount,weight,token,content_id,timestamp
,0x90Fc45639dFc2C652A757Bf04daF45662F3BC36B,,0x439ceE4cC4EcBD75DC08D9a17E92bDdCc11CDb8C,0xde9008d41546c80c5476bbe5f0170d947fbf9d1b014729473468c3436fcaa55e,235867381,1000,0.0,donut,t3_1ebr03f,2024-07-25 05:08:22
,0xa51731189c99832A2ba2f28C6c2dc1Db451F3a2e,bazooka_star,0xD542a50Ba9181DAA549B882752b7Be621355dFce,0xf71dbdb267a219f2d8b7e99c0ff4ec5dbb3cf5b8a7fd14618193eefefcaf23b4,233463206,1,1.0,donut,t3_1e67xmt,2024-07-18 05:30:13
