id,owner,liquidity,user,eth_in_lp,donut_in_lp,percent_of_pool
"14527,14528",0xfedd14d3a32faabfbd6e290faa73aec58e894650,11273380948050225249259,DBRiMatt,0.0,796803.9627702913,31.794840689702454
"11151,12344",0x7f25555a0c85b53cb8934960d0e4ae2df65cecab,7037018894282700541410,MemeyCurmudgeon,0.009225224538432523,635169.0896883934,19.846831727339207
12389,0x0e066ed845a6853557a0d580b3ba998b0283aca8,3124555694263625859999,Eth_Man,0.7219445724130978,784469.6588249529,8.81232976894981
10320,0xdd4b43ffa5ceef9e5bf053ea9a74820b68e506d0,2442176000488968169482,,0.0,710686.8895149705,6.887782576458669
10151,0x439cee4cc4ecbd75dc08d9a17e92bddcc11cdb8c,2228164216679413715045,r/EthTrader Multi-Sig Wallet,3.177340054898289,1562538.3782377404,6.2841951874313615
12430,0x58edd08a8f51cea4c0faf176c71ab8c7c40ba1bc,1337281836100304933934,Crypto_Gaming_,0.0,461188.64588357654,3.7715981684621194
12521,0x960a596e15913fda7040ea80fd43c2b8e8a1fe39,1228065566229777258952,SuccessOtherwise2760,1.7512093069326196,861202.044203898,3.463570442151889
12133,0x4898c9503caedb585d4ffb41625a590baa348ee7,1217001559690501812605,,0.0,91973.91805878791,3.4323661098466878
"12435,15863",0x93d93069fbc8d0868b93c6be9383ed9f85392474,891396749390956172687,Paper_cobbler,0.09250999236441868,167448.55835286976,2.5140477172561
15860,0xe1e21819b7f2918980bb85f9f1892e835215a026,869290775881109380806,Humble-Grape1012,0.008379882530849177,276111.0529060178,2.4517012118665233
10922,0x5f9d94cc0071acaf471ec711143085e0dcdf453a,855853221911865214859,ALiteralHamSandwich,0.0,207208.21881087188,2.4138026533346846
20600,0xdb1032c4c3a3c81cd75a864dd85325cd85743218,394980085890065941832,,0.07688910400096075,22115.801219065903,1.1139807094562568
12117,0x0eafde159a21ca316e1fa7f64e7755e15b9c1349,313157654672644511639,Yinyangkarma060910,0.0,47336.76567084633,0.883213100573848
"11043,17320",0xeb9a6e724925b178d9627ce05208cfe6a5c11447,290199853064243527036,Kappatalizable,0.0387221723939044,57734.2054638495,0.8184641447735788
19264,0xb89cb46a5cf811b99a3608c8b9e63ad0de990fe0,264955142794422101193,Buzzalu,0.3778234035221193,185804.3388492813,0.7472653140957696
12160,0x35162a2ed27a8e2dc96471ab6fb63e0fd5058d46,255600824181818749721,Soaring_Eagle590,0.0,45618.98710584587,0.7208828941794194
11843,0x2a043f315f24762937cbcf0eb6cb313a43bde534,232912851819685563042,raymv1987,0.01833321156215522,76620.32770292577,0.6568949503539996
12124,0x48afb64d55c79a2e711c14a2bf903a7c3842bacc,186243770391645504024,Jake123194,0.026896773793610582,37941.65621709874,0.5252719691048898
10319,0xe86b79c26338fc514013eecb042a9f42ff9d12af,184332395022271176408,,0.0,53108.04113277824,0.5198812282395252
12157,0xb127e23bf80e0d8688d994c1a093e3657856a040,133091597835700987499,fairysquirt,0.0,39909.856554789025,0.37536442437491985
11281,0xe120ffc02ff9e6685ad3d65f998d8e40b4578a17,113006991333331770994,Sharkytrs,0.0,38979.209553041066,0.3187188743841127
12264,0xeca23ebdfdf663d499891a833d22956a6f65dfa2,85121524979979828415,Kindly-Wolf6919,0.046778966544679904,59692.84458247784,0.24007219648432737
11832,0x7b34db486502f78afb65769f7b53f57337b87084,78588437751231643566,vanboiDallas,0.006185912217278611,25852.89651093191,0.2216466266745975
10499,0x1fec4923925f96f02634281260f4555cc802ec6a,75000400377701107693,,0.10694982643990872,52595.31730026685,0.21152711796591392
12986,0xf3a6ab4ab31ab110b272b238a5e29160c9804c05,72130053692756336819,Pibo1987,0.0,8382.256435884334,0.2034317456909427
10350,0x349cb3d3db85a1bff571ecaaaff4cff48503cd54,70078717533468007684,likelysomeone3,0.09993155555959078,49143.902780609395,0.19764626689925163
11918,0x8d23dbae8e5c52d9ac2bb5f393c4ff2e228abae6,37673432651864763160,BuddhaIvan,0.05372194099260391,26419.14088640223,0.10625213455662053
11303,0x7ea45e32a4f75f79615e1c77fa017f2ac4fe66ab,34725575817112479836,Savi321,0.0003347513331986607,12770.154234893414,0.09793815680062092
11084,0xdf2ffb4a4c766a322f1fbe6a6e344ca018bdec9e,22040020818175638771,Huelino,0.0,7602.207437688511,0.06216049594534628
12368,0x1b036f17f5dcb000005e14773f8636b4dde76e39,19420562577934090692,,0.0,2191.872603788431,0.054772716021506046
10342,0xcbedbe4f7b04def3b4ddb581c266a0c45023d99f,18062036536701212097,InsaneMcFries,0.025756284806791797,12666.312952367358,0.0509412018330955
10485,0xdb721582dc092c59692221d89103061c8b955d7c,17531494615859564964,whaterloowhorks,0.024999737294147048,12294.261329612877,0.04944488977461881
13743,0x10006c92af4c697db4d168cb4e2c56009450a493,15498397994276458898,ellileon,0.007677319897199264,10868.501979579432,0.043710852799563236
12058,0x53577b2a5c8db082524caf0a980eec182fe17341,9550009794175007171,,0.0032924881580504977,6697.098654410937,0.02693433685866957
11096,0x1a86440fd49a1e85c46c66ba64c46b98b0e3b6ab,8779210294839764061,evil_betty_,0.0,5177.438882606534,0.02476041517554707
16655,0x527a12dbc1fe652568457d64826541f25241d5a8,7595209121609858683,,0.0,4999.9999999964275,0.021421121590708483
11875,0xff98aa744a746933f366ca2cf0eb1338f9e5eb36,4827465707478737818,PineapplePie135,0.006883918178561697,3385.3431363346535,0.013615126093191647
"10302,12674",0x6b82a00010676e509e520ff4594eeb2005de93de,4439414593844977513,CapnPratt,4.3520222548527306e-05,1320.8893034520536,0.012520687486503656
10298,0x5ed61dee19b3355cf125a5cb95bec8f344523628,1555692245851803899,DrRobbe,0.0022184016998558604,1090.955873303144,0.0043875912068436175
10344,0x0b3ab5a8d926d07275291c074225f258d00b4f08,1286606737294797967,The_Nutcrack,6.625679784327254e-05,902.2537604462625,0.003628676830056121
12420,0x3808699baf43ba988d1e9acd64237dea36c61593,65162551889730903,,9.29211521524131e-05,45.69635729244024,0.0001837809762497909
