username,contrib,base,mod,org,voter,voting_bonus_contrib,post_of_the_week,pay2post
bigron1977,41434.2543,46611.90556,0.0,0.0,122.35761999999522,0,0,-5300.00888
odd-radio-8500,41108.79227,45678.91368,0.0,0.0,126.08899000000383,0,0,-4696.2104
downtown_yam9137,1000.69579,0,0.0,0.0,99.43850999999995,0,6000,-5098.74272
fredzoor,0,0,0.0,0.0,110.42860999999539,0,0,-4897.47656
lordciders,0,0,0.0,0.0,108.10906999999861,0,0,-4562.03296
master-score7344,0,0,0.0,0.0,98.07237999999779,0,0,-4360.7668
siginwanne,29743.7531,35013.59138,0.0,0.0,97.25931999999739,0,0,-5367.0976
kirtash93,28377.12963,32982.34297,0.0,0.0,90.99706000000151,0,0,-4696.2104
every_hunt_160,0,0,0.0,0.0,77.57959000000119,0,1500,-4763.29912
major-remove-7190,0,0,0.0,0.0,75.68717000000106,0,0,-5031.654
rikbona,0,0,0.0,0.0,74.33381000000008,0,0,-5031.654
extension-survey3014,24390.29122,29809.524230000003,0.0,0.0,82.04203000000052,0,0,-5501.27504
buzzalu,23811.11256,26397.38072,0.0,0.0,66.90167999999903,0,500,-3153.16984
abdeliq,22989.54625,27481.17569,0.0,0.0,70.40351999999984,0,0,-4562.03296
honey_-_badger,0,0,0.0,0.0,60.903369999999995,0,0,-3086.08112
fattestlion,27470.7361,23985.281779999998,0.0,0.0,65.20463999999993,0,5500,-2079.75032
goldyluckinblokchain,21881.99381,26778.32181,0.0,0.0,68.23728000000119,0,0,-4964.56528
kig45,0,0,0.0,0.0,64.81284999999843,0,0,-3622.79088
legendrxl,20195.25937,23547.69483,0.0,0.0,69.08926000000065,0,0,-3421.52472
altruisticpops,20068.92998,23604.63238,0.0,0.0,56.70952000000034,0,500,-4092.41192
creative_ad7831,18320.20382,22555.02748,0.0,0.0,58.854419999999664,0,0,-4293.67808
wonderful_bad6531,17975.19229,21449.076370000002,0.0,0.0,57.76991999999882,0,1500,-5031.654
insanemcfries,15806.19417,19580.54542,0.0,0.0,49.70578999999998,0,0,-3824.05704
parishyou,14108.62329,17949.43097,0.0,0.0,50.338079999999536,0,0,-3891.14576
sky-876,0,0,0.0,0.0,42.022069999999076,0,0,-2415.19392
dbrimatt,32931.50157,14738.93508,0.0,0.0,34.34089000000131,0,19500,-1341.7744
malixshak,13102.19492,17879.103320000002,0.0,0.0,53.47943999999916,0,0,-4830.38784
mayusuff,13056.12965,18309.564599999998,0.0,0.0,46.57393000000047,0,0,-5300.00888
masterpieceloud4931,12943.85143,14787.17269,0.0,0.0,35.162899999999354,0,0,-1878.48416
inclinedumbbellpress,10421.25756,13275.269810000002,0.0,0.0,30.802709999999934,0,0,-2884.81496
bazooka_star,6297.71191,7818.45561,0.0,0.0,22.29686000000038,0,0,-1543.04056
garden_aria,6124.98411,9391.73502,0.0,0.0,20.596370000000206,0,0,-3287.34728
creeptoecurrentsea,5345.95104,6271.24365,0.0,0.0,13.949470000000474,0,0,-939.24208
arstotzkahero,7.98987,0,0.0,0.0,7.989869999999428,0,0,-0.0
whodontloveboobs,4302.47616,6907.31293,0.0,0.0,11.623309999999947,0,0,-2616.46008
cymandetv,3900.93465,4963.15491,0.0,0.0,11.199260000000322,0,0,-1073.41952
drrobbe,8422.19496,3881.11075,0.0,0.0,10.705249999999978,0,5000,-469.62104
friendly-airline2426,29281.42773,2534.7552699999997,12142.857142857143,15000.0,6.347639999999956,0,0,-402.53232
narrow-professor-126,0,0,0.0,0.0,5.852829999999813,0,0,-939.24208
falk_lhoste,0,0,0.0,0.0,6.010710000000017,0,0,-402.53232
carrykind8827,1722.0148,4331.434920000001,0.0,0.0,7.039959999999837,0,0,-2616.46008
mrwiowijo,1599.60613,2401.50604,0.0,0.0,3.164729999999963,0,0,-805.06464
lillica_golden_shib,1368.32145,1365.81484,0.0,0.0,2.5066099999999096,0,0,-0.0
jack-jackson-the2nd,1286.95287,2959.56641,0.0,0.0,4.604460000000017,0,0,-1677.218
king__robbo,1290.74676,1288.38226,0.0,0.0,2.3644999999999072,0,0,-0.0
coinfeeds-bot,1268.43463,1266.111,0.0,0.0,2.3236299999998664,0,0,-0.0
timbulance,1161.94868,1159.82012,0.0,0.0,2.1285599999998794,0,0,-0.0
huelino,1074.60281,1072.63425,0.0,0.0,1.968560000000025,0,0,-0.0
successotherwise2760,713.56849,778.84115,0.0,0.0,1.8160599999999931,0,0,-67.08872
boiboi3434,699.11616,1166.55118,0.0,0.0,2.186019999999985,0,0,-469.62104
darunningdead,683.17209,950.19321,0.0,0.0,1.3337599999999838,0,0,-268.35488
s-u_2,584.00444,582.9346,0.0,0.0,1.0698399999999992,0,0,-0.0
asingleguitarstring,549.56549,749.74292,0.0,0.0,1.088730000000055,0,0,-201.26616
raymv1987,12680.49249,603.30041,12142.857142857143,0.0,1.4236600000000408,0,0,-67.08872
mundane-farm-4117,483.36791,482.48243,0.0,0.0,0.8854799999999727,0,0,-0.0
reddito321,20926.34803,515.55688,12142.857142857143,8333.333333333334,1.689390000000003,0,0,-67.08872
chemicalanybody6229,441.2016,440.39337,0.0,0.0,0.8082299999999805,0,0,-0.0
michaelaischmann,403.93291,403.19295,0.0,0.0,0.7399599999999964,0,0,-0.0
poojaapriyaa,397.37268,463.37514,0.0,0.0,1.0862600000000384,0,0,-67.08872
murky-statistician45,0.71962,0,0.0,0.0,0.7196199999999635,0,0,-0.0
mattg1981,20843.25346,432.6887,12142.857142857143,8333.333333333334,1.4630000000000223,0,0,-67.08872
good2youall,354.61031,420.78269,0.0,0.0,0.916339999999991,0,0,-67.08872
crypto-4-freedom,338.59438,405.21892,0.0,0.0,0.4641799999999989,0,0,-67.08872
prog132487,299.86842,366.47017,0.0,0.0,0.48696999999998525,0,0,-67.08872
savi321,260.89953,528.6121,0.0,0.0,0.642310000000009,0,0,-268.35488
ellileon,233.212,232.78479,0.0,0.0,0.4272100000000023,0,0,-0.0
abcoathup,230.6831,431.08348,0.0,0.0,0.8657800000000009,0,0,-201.26616
lce_fight,228.27589,227.85771,0.0,0.0,0.41818000000000666,0,0,-0.0
bvandepol,0,0,0.0,0.0,0.7197699999999827,0,0,-268.35488
eat-sleep-rave,207.17252,206.79301,0.0,0.0,0.37950999999998203,0,0,-0.0
aminok,12346.69424,337.57241999999997,12142.857142857143,0.0,0.4421199999999885,0,0,-134.17744
cryotosensei,200.39727,200.03017,0.0,0.0,0.36709999999999354,0,0,-0.0
no-delivery-7048,0.32515,0,0.0,0.0,0.3251500000000078,0,0,-0.0
kindly-wolf6919,173.23083,172.91349,0.0,0.0,0.3173400000000015,0,0,-0.0
flaky_word_7636,173.23083,172.91349,0.0,0.0,0.3173400000000015,0,0,-0.0
slight-syrup6769,170.28494,169.973,0.0,0.0,0.3119399999999928,0,0,-0.0
mrkay07,169.06961,503.80302,0.0,0.0,0.710189999999983,0,0,-335.4436
bluemugg,158.00769,157.71824,0.0,0.0,0.289449999999988,0,0,-0.0
chinoui66,157.11576,290.70514,0.0,0.0,0.5880599999999845,0,0,-134.17744
bugsyq,0.24682,0,0.0,0.0,0.2468200000000138,0,0,-0.0
modern_orange,127.03209,126.79938,0.0,0.0,0.2327099999999973,0,0,-0.0
caregiverstandard427,125.11048,192.1261,0.0,0.0,0.07309999999999661,0,0,-67.08872
slowpokesemporium,125.11115,124.88197,0.0,0.0,0.2291799999999995,0,0,-0.0
mixdealyn,105.86329,105.66936,0.0,0.0,0.19393000000000882,0,0,-0.0
diyrself,97.90525,97.7259,0.0,0.0,0.17934999999999945,0,0,-0.0
jake123194,12238.73078,95.69801,12142.857142857143,0.0,0.17562999999999818,0,0,-0.0
carlslarson,20567.86816,158.38329,12142.857142857143,8333.333333333334,0.38310999999998785,0,0,-67.08872
kappatalizable,86.39503,86.23676,0.0,0.0,0.1582700000000017,0,0,-0.0
fairysquirt,79.56051,146.32903,0.0,0.0,0.3201999999999998,0,0,-67.08872
excellent4nything0,0,19.21261,0.0,0.0,0.2868100000000027,0,0,-67.08872
donut-bot,76.99148,76.85044,0.0,0.0,0.14103999999998962,0,0,-0.0
smokyish,73.95512,207.82212,0.0,0.0,0.3104399999999998,0,0,-134.17744
lorem_epsom_dollar,73.1063,72.97237,0.0,0.0,0.13393000000000654,0,0,-0.0
sadiq_238,0.1252,0,0.0,0.0,0.12519999999999243,0,0,-0.0
asleep_fact_2549,65.45623,65.33632,0.0,0.0,0.1199100000000044,0,0,-0.0
diamond_hands420,64.48421,64.36609,0.0,0.0,0.11812000000000467,0,0,-0.0
basoosh,57.74361,57.63783,0.0,0.0,0.10577999999999577,0,0,-0.0
beerdrinker_mavech,57.74361,57.63783,0.0,0.0,0.10577999999999577,0,0,-0.0
xwarrioryz,57.74361,57.63783,0.0,0.0,0.10577999999999577,0,0,-0.0
wow247897,57.74361,57.63783,0.0,0.0,0.10577999999999577,0,0,-0.0
hydratedcarrot,53.32815,53.23046,0.0,0.0,0.09769000000000005,0,0,-0.0
martianandroidminer,51.11181,117.98643,0.0,0.0,0.21409999999999485,0,0,-67.08872
significantproduce48,49.10709,49.01713,0.0,0.0,0.08995999999999782,0,0,-0.0
mallison945,48.62878,48.5397,0.0,0.0,0.08907999999999561,0,0,-0.0
raresanevoice,48.61338,48.52433,0.0,0.0,0.0890500000000003,0,0,-0.0
