user,comments,posts,reason
dbrimatt,1,1,
kirtash93,1,1,
creative_ad7831,1,1,
0xmarcaurel,1,1,
odd-radio-8500,1,1,
drrobbe,1,1,
king__robbo,1,1,
bzzking,1,1,
cymandetv,1,1,
siginwanne,1,1,
mrjune2040,1,1,
donut-bot,1,1,
obolli,1,1,
partymsl,1,1,
wisechest8227,1,1,
alt-co,1,1,
pizzatimedudes,0,0,karma and/or age
coinfeeds-bot,1,1,
denaneha,1,1,
abcoathup,1,1,
fattestlion,1,1,
xcreampye69x,1,1,
rv8n8,1,1,
right-shopping9589,1,1,
mixdealyn,1,1,
josefumi12,1,1,
incompetentdonuts,1,0,comments only
prospero_quant,0,0,karma and/or age
aminok,1,1,
admirral,1,1,
j-96788-eu,1,1,
ufonomura808,1,1,
physicaljoe3011,1,1,
shibeceo,1,1,
chiurro,1,1,
sogdianus,1,1,
tserica,1,1,
snoocalculations1742,1,1,
complete_oven_9651,1,1,
dont_agree_with_me,1,1,
crosspuffs,1,1,
due_camel_4545,0,0,karma and/or age
according_time5120,1,1,
