user,address,amount,token,block_number,tx_hash,tx_timestamp,processed_at,created_at
,0x2b35d88052c8b6f4bca7dc643cb95dcc3710c836,182000,DONUT,31982495,0x056e04d255ef1b804517150b4738278427f338ca1c477cc61bd346723df25dc8,2024-01-16 20:13:00,,2024-01-17 17:10:04.482595
aminok,0xbea18a39a1cee253705eb5e966fe23f26dd109ef,60000,DONUT,32082008,0x11e031ef7e1e26060415bd32120464a23f4459d43509b535a96a2954b3763980,2024-01-22 21:44:35,2024-01-23 07:50:06.624251,2024-01-23 07:50:04.350280
defi_mama,0x4aaa3fa3fcb2019d270e3c762a42ddb53b990e88,100,DONUT,32334982,0x9c0c4af8cea658f9042964fd9b068adcc4aab480655c1c8b48023f2aeaf81a69,2024-02-07 09:29:35,2024-02-07 09:30:05.513034,2024-02-07 09:30:03.509371
defi_mama,0x4aaa3fa3fcb2019d270e3c762a42ddb53b990e88,99900,DONUT,32335402,0xf57a39b17a4ab70502c7c99615d7204eb402e71a371537ef3882c3dd054312cd,2024-02-07 10:07:00,2024-02-07 10:10:04.717514,2024-02-07 10:10:02.683562
