user,reason
defi_mama,deleted or shadow ban
No_Meet_1995,age
omararab1,age
SoggyHotdish,age
I_know_my_Stuff,karma
ChampionshipLow8541,suspended
Mksrousl,karma
stupidcupid112,suspended
RedDiceRoulette,age
Gorbachev_,deleted or shadow ban
SexBeforeChurch,age
overallpersonality8,age
Mr-Pomeroy,age
quintavious_danilo,age
Altruistic-Bee-9183,karma
CryptoBatmanKnight,karma
fatcatz888,karma
Mr_crypto-,karma
Abeer0900,karma
Bizzare_Questions,karma
KaJIbaceHb,karma
JZambo_,age
Steuernachzahlung,age
Fiddlers-list,suspended
Plenty-Whole6860,karma
No_Stress_3268,deleted or shadow ban
VegetablePear6,karma
WoWthisismanyak,karma
CCCAir_Official,karma
pythonskynet,suspended
